,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,4.5%,9.9%,1.2%,0.5%,2.4%,0.6%,0.7%,0.8%,0.5%,-1.4%,-0.7%,-1.1%,19.0%
1,1974,0.7%,0.5%,0.3%,0.7%,0.7%,0.6%,0.7%,0.8%,0.6%,0.7%,0.6%,0.6%,7.8%
2,1975,0.5%,3.3%,-0.6%,0.4%,0.7%,1.2%,-2.5%,0.1%,-1.9%,-0.3%,0.3%,1.6%,2.7%
3,1976,2.3%,-0.1%,0.3%,-0.7%,-0.9%,0.9%,-2.0%,2.2%,1.2%,0.2%,3.0%,2.9%,9.7%
4,1977,0.0%,2.5%,1.5%,0.3%,-1.6%,1.9%,0.2%,1.1%,2.0%,0.8%,0.6%,3.4%,13.5%
5,1978,1.0%,3.8%,3.3%,-0.7%,3.0%,-0.5%,5.0%,2.1%,1.8%,6.7%,0.7%,1.0%,30.5%
6,1979,2.0%,3.0%,0.3%,2.8%,0.7%,0.1%,1.7%,6.2%,7.9%,-3.7%,1.9%,3.7%,29.7%
7,1980,5.0%,0.4%,-3.3%,1.0%,5.0%,10.7%,-3.4%,2.7%,2.7%,0.7%,-1.5%,-1.6%,18.8%
8,1981,1.4%,0.9%,1.2%,2.9%,0.9%,0.9%,0.4%,1.3%,1.2%,1.2%,0.9%,0.9%,15.1%
9,1982,0.5%,1.0%,1.2%,1.1%,1.0%,1.1%,0.9%,0.7%,1.3%,6.5%,1.5%,2.5%,21.0%
10,1983,-2.5%,-2.2%,0.2%,4.0%,-1.9%,0.9%,-3.1%,-1.2%,2.0%,-1.8%,1.6%,4.6%,0.4%
11,1984,3.3%,-0.3%,2.0%,0.6%,0.9%,0.8%,0.8%,0.9%,1.8%,4.8%,1.9%,1.2%,20.2%
12,1985,2.3%,-1.9%,1.4%,1.9%,7.3%,1.3%,-0.5%,2.3%,5.0%,5.0%,3.4%,1.7%,33.1%
13,1986,1.3%,8.3%,11.4%,4.8%,-3.4%,2.7%,2.3%,3.9%,3.2%,-3.5%,0.7%,2.1%,38.2%
14,1987,2.8%,-1.1%,5.3%,7.0%,0.4%,-1.3%,2.3%,3.1%,-6.1%,-4.0%,0.5%,0.5%,9.1%
15,1988,0.4%,2.0%,-0.7%,1.3%,0.6%,-0.9%,-1.0%,-1.0%,0.5%,2.0%,4.2%,2.6%,10.3%
16,1989,1.1%,0.9%,3.5%,6.1%,1.0%,-1.2%,0.6%,0.6%,4.9%,0.4%,0.1%,0.7%,20.1%
17,1990,-1.3%,0.6%,-2.4%,0.2%,0.6%,1.3%,1.1%,-0.6%,0.6%,0.7%,0.6%,0.5%,1.9%
18,1991,0.5%,0.4%,0.0%,0.8%,1.7%,-2.8%,0.7%,0.4%,2.5%,1.5%,0.6%,4.4%,11.2%
19,1992,-0.4%,1.0%,-0.3%,0.2%,1.8%,-1.0%,2.2%,1.0%,2.0%,-2.3%,-0.3%,2.4%,6.4%
20,1993,2.6%,1.4%,0.5%,4.3%,0.5%,1.5%,3.1%,5.5%,0.0%,2.2%,-1.3%,3.9%,26.9%
21,1994,-0.7%,-0.1%,-2.6%,0.3%,0.3%,0.5%,0.3%,0.4%,0.2%,-0.6%,-1.6%,0.4%,-3.2%
22,1995,-0.4%,0.4%,0.8%,2.8%,4.5%,-0.3%,0.2%,1.9%,1.6%,1.9%,1.8%,0.7%,17.0%
23,1996,0.9%,-1.1%,2.5%,6.8%,1.4%,-0.7%,-2.6%,1.0%,1.4%,1.8%,4.9%,2.1%,19.8%
24,1997,-0.0%,-2.9%,-1.1%,-0.4%,3.0%,2.8%,6.4%,-2.6%,2.3%,-1.4%,0.6%,0.5%,7.1%
25,1998,2.0%,0.2%,1.1%,0.6%,-0.2%,1.3%,0.4%,3.5%,4.7%,-0.8%,-0.9%,5.1%,18.2%
26,1999,2.1%,-4.5%,2.9%,1.7%,-2.8%,3.9%,1.0%,0.4%,1.8%,2.0%,2.2%,7.7%,19.3%
27,2000,-1.0%,4.4%,-1.6%,-5.5%,2.0%,1.5%,0.9%,2.4%,0.7%,-0.2%,2.5%,2.4%,8.4%
28,2001,0.8%,1.3%,0.6%,-1.7%,0.2%,0.5%,2.9%,1.2%,2.5%,2.5%,-2.7%,-1.5%,6.6%
29,2002,0.6%,1.3%,-3.1%,0.5%,1.3%,1.2%,3.1%,2.5%,3.9%,-1.3%,-2.1%,3.5%,11.9%
30,2003,-0.8%,2.2%,-0.4%,0.0%,4.8%,-2.1%,-4.7%,2.7%,-1.0%,2.2%,1.2%,4.2%,8.4%
31,2004,2.0%,0.8%,6.7%,-6.6%,1.2%,1.4%,-1.0%,2.7%,2.3%,3.3%,2.8%,0.5%,16.8%
32,2005,0.7%,3.6%,-1.8%,-0.4%,2.0%,3.3%,1.2%,1.5%,-1.1%,-2.8%,1.8%,3.8%,12.0%
33,2006,7.4%,-2.0%,4.3%,2.7%,-2.0%,-1.2%,1.3%,-0.1%,-1.2%,2.2%,2.8%,-1.9%,12.6%
34,2007,3.1%,0.3%,-0.8%,0.8%,0.1%,0.5%,-0.7%,1.6%,3.7%,9.2%,-3.4%,0.7%,15.6%
35,2008,3.9%,1.2%,1.3%,-2.4%,-1.3%,1.3%,0.7%,1.5%,-0.1%,-0.9%,7.8%,5.2%,19.4%
36,2009,-3.9%,-0.7%,3.3%,-2.7%,-2.2%,0.0%,-0.1%,0.7%,3.1%,0.6%,6.4%,-0.7%,3.3%
37,2010,-4.2%,2.4%,3.1%,3.4%,-3.4%,2.3%,0.7%,5.1%,-0.2%,-0.3%,-0.5%,2.1%,10.4%
38,2011,-1.8%,4.0%,0.6%,4.3%,0.9%,-1.7%,3.9%,7.2%,2.0%,-1.4%,0.4%,2.0%,22.1%
39,2012,0.9%,-1.3%,-2.3%,-0.1%,2.7%,-0.5%,1.9%,-0.3%,-0.9%,-0.7%,0.5%,-0.6%,-0.9%
40,2013,1.0%,0.9%,1.5%,4.3%,-5.0%,-0.5%,0.7%,-0.4%,-0.0%,0.8%,1.0%,0.3%,4.5%
41,2014,-1.3%,2.6%,-0.8%,-0.6%,1.5%,0.1%,-1.0%,3.0%,-4.0%,1.6%,2.1%,0.1%,3.1%
