,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,-1.8%,4.4%,0.1%,-3.6%,-3.5%,-0.6%,4.7%,1.1%,2.8%,0.3%,4.1%,3.6%,11.7%
1,1971,3.0%,0.9%,3.4%,0.6%,-2.4%,-0.7%,-0.6%,3.0%,1.5%,0.4%,0.8%,2.5%,12.7%
2,1972,1.3%,1.3%,0.5%,0.2%,2.6%,1.3%,0.9%,2.1%,-0.2%,0.8%,3.0%,0.5%,15.2%
3,1973,-4.1%,0.1%,1.1%,0.6%,1.9%,1.8%,2.3%,-2.9%,2.2%,-0.1%,-3.3%,3.2%,2.5%
4,1974,1.6%,1.7%,-1.6%,-1.8%,-2.1%,0.3%,-1.5%,-3.1%,-1.3%,6.7%,2.8%,-0.2%,1.1%
5,1975,2.7%,2.9%,-0.3%,-0.4%,2.8%,3.0%,-2.5%,-1.4%,-1.9%,3.7%,1.2%,0.5%,10.6%
6,1976,4.0%,0.6%,1.7%,0.8%,-1.5%,2.1%,-0.9%,0.3%,1.9%,0.5%,1.3%,4.5%,16.1%
7,1977,-2.7%,-1.2%,0.8%,0.7%,-0.4%,2.5%,-1.5%,0.8%,0.6%,-1.1%,1.5%,0.1%,-0.2%
8,1978,-1.5%,-0.2%,1.5%,2.3%,1.2%,-1.6%,3.4%,2.5%,0.3%,-2.6%,-0.5%,1.3%,6.1%
9,1979,3.2%,-0.7%,2.0%,0.2%,1.1%,3.1%,0.2%,3.0%,2.5%,-6.5%,4.1%,4.0%,16.7%
10,1980,0.7%,-4.3%,-6.2%,9.0%,5.2%,4.9%,-1.2%,-0.9%,0.7%,-1.1%,3.6%,-1.6%,8.1%
11,1981,-3.5%,-2.0%,3.3%,-4.2%,3.0%,-1.8%,-1.9%,-3.8%,-2.3%,5.6%,7.3%,-4.7%,-5.8%
12,1982,-0.3%,-1.2%,0.3%,4.0%,-0.7%,-2.3%,2.8%,9.0%,3.9%,7.9%,3.3%,2.3%,32.2%
13,1983,-0.1%,1.8%,1.2%,4.6%,-2.1%,1.2%,-3.4%,0.5%,2.6%,-1.7%,2.1%,-1.6%,4.8%
14,1984,0.7%,-1.5%,-0.3%,-0.9%,-4.2%,1.4%,2.0%,5.5%,1.4%,3.3%,0.6%,0.2%,8.3%
15,1985,4.3%,-2.5%,2.9%,0.7%,6.4%,1.2%,-0.7%,1.6%,-0.6%,3.6%,4.7%,2.7%,26.9%
16,1986,0.1%,7.8%,7.0%,0.2%,-0.3%,4.4%,-2.2%,5.3%,-4.0%,1.6%,2.1%,-3.0%,19.7%
17,1987,5.1%,1.2%,0.3%,-2.2%,0.0%,2.9%,1.1%,0.2%,-2.8%,-4.7%,-2.1%,2.9%,1.5%
18,1988,4.3%,1.4%,-2.0%,-0.7%,-0.0%,3.4%,-1.4%,-1.3%,2.8%,3.1%,-1.2%,0.8%,9.3%
19,1989,3.1%,-1.7%,1.6%,3.2%,2.9%,3.6%,3.6%,-0.6%,0.5%,1.5%,1.8%,0.9%,22.2%
20,1990,-4.1%,0.2%,-0.3%,-2.4%,5.2%,0.7%,1.2%,-4.0%,0.8%,-0.1%,3.7%,1.8%,2.3%
21,1991,0.8%,2.5%,0.8%,0.7%,1.6%,-2.1%,2.4%,2.6%,1.3%,0.6%,-1.1%,6.8%,17.9%
22,1992,-2.2%,0.5%,-1.6%,0.7%,2.0%,0.3%,3.7%,-0.4%,1.3%,-1.7%,1.2%,2.0%,6.1%
23,1993,1.7%,2.5%,1.0%,-0.2%,1.1%,2.4%,1.2%,3.8%,0.1%,1.4%,-2.5%,0.6%,13.7%
24,1994,2.0%,-3.6%,-3.7%,-0.6%,0.6%,-1.3%,2.7%,1.0%,-2.1%,0.1%,-1.1%,1.1%,-5.0%
25,1995,2.4%,3.0%,1.7%,2.0%,5.8%,0.9%,-0.1%,1.8%,2.7%,1.3%,3.2%,2.4%,30.6%
26,1996,1.0%,-2.3%,0.2%,-0.2%,0.1%,1.2%,-1.6%,0.7%,3.4%,2.8%,4.6%,-2.0%,8.0%
27,1997,0.6%,0.6%,-3.1%,2.9%,2.5%,1.8%,6.0%,-3.4%,3.3%,0.6%,1.6%,1.2%,15.4%
28,1998,1.8%,1.1%,1.6%,0.6%,-0.2%,2.7%,-1.4%,-1.9%,5.8%,1.0%,1.8%,1.9%,15.7%
29,1999,1.4%,-3.9%,2.4%,1.8%,-2.5%,1.7%,-1.4%,-0.0%,1.3%,1.7%,0.1%,1.5%,3.9%
30,2000,-0.5%,1.8%,4.0%,-1.8%,-0.1%,2.8%,-0.5%,3.9%,-2.2%,0.3%,-0.0%,0.9%,8.6%
31,2001,1.3%,-2.0%,-2.3%,1.4%,-0.1%,-0.5%,1.7%,-0.1%,-1.5%,2.6%,-1.2%,-1.0%,-1.9%
32,2002,0.4%,0.7%,-0.5%,0.4%,0.4%,-1.1%,-0.6%,3.7%,0.2%,-0.5%,0.6%,2.2%,6.1%
33,2003,-0.1%,1.0%,-1.5%,2.5%,6.0%,-0.7%,-3.8%,2.1%,2.5%,0.5%,1.0%,3.2%,13.1%
34,2004,1.4%,2.0%,1.1%,-4.3%,0.9%,0.9%,0.3%,2.5%,1.7%,2.0%,0.1%,1.4%,10.3%
35,2005,0.9%,0.6%,-0.5%,1.0%,2.2%,1.9%,-0.3%,2.0%,-1.0%,-2.4%,2.0%,2.2%,8.6%
36,2006,1.5%,0.1%,-1.0%,0.8%,-1.2%,0.0%,1.7%,1.6%,1.0%,1.6%,2.8%,-1.1%,8.0%
37,2007,0.0%,1.6%,-0.4%,2.0%,-0.3%,-1.0%,0.9%,1.4%,2.8%,2.5%,1.3%,0.5%,11.9%
38,2008,0.6%,0.6%,0.2%,0.0%,-0.2%,0.2%,-1.4%,0.4%,-2.5%,-8.4%,6.5%,8.2%,3.2%
39,2009,-8.2%,-4.2%,4.6%,-0.6%,2.3%,-0.6%,3.2%,1.8%,2.7%,-0.7%,4.4%,-2.7%,1.2%
40,2010,-0.4%,1.4%,0.7%,2.8%,-0.5%,1.5%,1.5%,3.1%,2.1%,-0.3%,-0.7%,0.8%,12.6%
41,2011,-0.7%,2.4%,0.3%,3.1%,0.8%,-2.0%,2.6%,3.9%,2.0%,1.6%,1.0%,1.1%,17.0%
42,2012,2.5%,0.4%,-1.1%,1.8%,0.5%,0.8%,2.6%,1.0%,0.1%,-1.3%,0.9%,-1.1%,7.1%
43,2013,0.2%,0.3%,1.2%,1.8%,-2.8%,-2.9%,1.5%,-1.3%,1.1%,2.3%,-0.4%,-0.2%,0.7%
44,2014,1.9%,2.4%,0.2%,1.3%,1.8%,1.1%,-0.7%,3.4%,-2.4%,1.7%,1.8%,0.9%,14.0%
45,2015,3.9%,-1.5%,-0.5%,-0.7%,-0.8%,-2.5%,1.2%,-1.9%,-0.1%,2.4%,-1.2%,-1.2%,-3.1%
46,2016,1.3%,2.3%,2.0%,0.9%,0.3%,4.4%,1.6%,-0.8%,-0.2%,-2.8%,-3.4%,0.6%,6.2%
47,2017,1.3%,2.2%,-0.5%,1.0%,1.2%,0.2%,0.9%,2.0%,-0.7%,0.9%,1.3%,1.5%,11.9%
48,2018,0.5%,-2.8%,0.6%,-0.7%,1.1%,,,,,,,,-1.3%
