,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1980,14.8%,0.4%,-13.5%,4.8%,5.6%,10.8%,0.9%,3.1%,2.4%,0.8%,8.6%,-4.2%,36.7%
1,1981,-2.3%,1.7%,6.1%,1.1%,2.9%,-2.5%,-1.8%,-5.8%,-1.4%,1.2%,3.6%,-4.2%,-2.0%
2,1982,-0.9%,1.7%,1.4%,3.1%,1.6%,-2.6%,4.9%,6.8%,6.5%,7.0%,1.9%,1.9%,38.1%
3,1983,1.8%,-2.4%,3.7%,7.6%,4.2%,3.1%,-2.9%,-1.2%,2.0%,-4.0%,3.4%,0.8%,16.9%
4,1984,6.7%,-0.3%,3.4%,0.8%,-5.6%,-3.1%,-3.4%,2.6%,1.9%,2.7%,1.7%,1.4%,8.6%
5,1985,3.8%,2.1%,-0.8%,0.4%,6.0%,1.5%,-1.7%,0.2%,5.1%,5.3%,3.2%,0.7%,28.7%
6,1986,1.8%,10.6%,10.5%,1.7%,-2.4%,3.4%,-0.4%,6.1%,-5.5%,-4.0%,2.8%,1.6%,27.8%
7,1987,4.8%,2.5%,4.8%,2.3%,-0.1%,-0.3%,4.1%,5.4%,-9.3%,-12.6%,2.7%,-0.3%,2.1%
8,1988,-1.0%,0.7%,5.9%,3.2%,-0.9%,2.4%,-1.3%,-3.8%,-0.1%,1.3%,1.4%,1.4%,9.1%
9,1989,0.1%,0.8%,4.5%,9.4%,1.2%,-5.0%,2.5%,1.9%,4.3%,-0.3%,-0.3%,6.2%,27.4%
10,1990,-2.1%,0.7%,-5.1%,-0.9%,3.1%,0.4%,4.8%,-7.4%,7.0%,-2.7%,-1.0%,1.5%,-2.4%
11,1991,2.0%,0.6%,4.9%,0.5%,5.7%,-4.8%,3.1%,3.2%,-1.7%,1.9%,-3.5%,8.6%,21.8%
12,1992,5.5%,4.0%,-0.4%,-2.0%,0.9%,-3.2%,2.7%,2.2%,0.7%,-2.2%,2.4%,3.5%,14.6%
13,1993,4.0%,1.1%,4.1%,-3.4%,1.1%,0.7%,2.0%,0.5%,0.9%,4.0%,-0.6%,6.3%,22.3%
14,1994,2.9%,-1.0%,-6.6%,2.9%,-0.6%,-1.1%,0.6%,3.4%,-0.9%,-1.5%,-3.7%,-2.4%,-8.2%
15,1995,1.6%,0.7%,3.4%,2.8%,3.1%,0.8%,1.7%,1.2%,2.5%,-1.9%,3.9%,2.0%,24.1%
16,1996,1.8%,-0.3%,3.2%,2.3%,1.4%,-0.3%,-5.1%,3.8%,4.3%,1.5%,4.5%,-0.0%,18.1%
17,1997,-0.1%,-0.3%,-3.3%,0.9%,4.6%,4.7%,7.1%,-2.7%,6.7%,-3.8%,0.8%,2.8%,18.0%
18,1998,-1.0%,3.8%,5.5%,1.0%,-3.0%,3.5%,-1.0%,-7.9%,5.6%,-0.0%,-0.4%,4.1%,9.7%
19,1999,1.0%,-3.8%,3.5%,6.1%,-1.8%,7.1%,-2.7%,1.6%,0.2%,1.0%,5.7%,11.5%,32.1%
20,2000,-3.9%,4.8%,-3.3%,-8.0%,-1.6%,2.0%,-0.2%,5.3%,-2.0%,-2.5%,-1.3%,1.3%,-9.8%
21,2001,1.3%,-0.1%,-0.1%,1.9%,1.1%,4.1%,-3.4%,1.7%,-5.3%,1.2%,-3.1%,2.2%,1.2%
22,2002,1.6%,1.2%,5.0%,1.8%,-1.2%,-1.4%,-2.9%,3.3%,1.3%,-1.8%,-0.7%,4.5%,11.0%
23,2003,2.4%,-0.1%,-4.0%,0.9%,5.3%,-1.5%,5.8%,5.6%,-1.3%,8.7%,3.3%,4.7%,33.2%
24,2004,2.3%,2.3%,0.5%,-7.1%,2.3%,0.8%,-2.0%,3.2%,3.7%,4.9%,3.8%,1.4%,16.7%
25,2005,-3.7%,6.9%,-1.4%,-3.9%,2.1%,3.5%,6.7%,0.7%,3.7%,-4.4%,3.8%,3.9%,18.5%
26,2006,9.9%,-3.2%,3.6%,5.0%,-5.5%,-1.8%,2.1%,1.5%,-0.9%,4.1%,4.4%,2.3%,22.5%
27,2007,3.4%,-2.1%,-0.1%,2.4%,3.7%,0.3%,-1.2%,0.9%,7.3%,9.2%,-3.3%,3.9%,26.4%
28,2008,1.6%,5.8%,-1.3%,-0.3%,3.7%,1.8%,-3.2%,-6.8%,-3.0%,-0.9%,7.4%,6.2%,10.4%
29,2009,-6.3%,-0.2%,1.6%,-4.4%,8.0%,-3.1%,6.2%,1.4%,6.9%,-3.5%,8.1%,1.1%,15.2%
30,2010,-5.7%,4.0%,8.9%,6.5%,-7.0%,-7.4%,1.2%,1.2%,2.2%,3.9%,-1.1%,7.2%,12.7%
31,2011,-0.0%,4.2%,2.2%,2.9%,-3.0%,-3.5%,-1.0%,2.0%,-4.2%,0.1%,1.5%,-1.8%,-1.0%
32,2012,2.2%,-2.2%,-1.0%,0.5%,-0.1%,-0.5%,2.3%,-0.5%,-0.9%,-1.7%,-0.2%,3.5%,1.4%
33,2013,3.1%,0.2%,4.3%,0.3%,-2.2%,-0.8%,6.4%,-3.8%,4.9%,3.0%,2.7%,2.2%,21.6%
34,2014,-3.0%,5.4%,-1.1%,-1.9%,1.1%,1.9%,-1.0%,3.4%,-5.4%,2.3%,2.9%,1.4%,5.8%
35,2015,5.3%,-4.2%,0.6%,-3.6%,-0.3%,-0.5%,1.1%,-6.2%,-0.0%,-0.3%,-0.0%,0.6%,-7.8%
36,2016,-2.5%,1.5%,-0.5%,1.4%,-2.3%,5.5%,2.8%,-2.8%,0.4%,-2.9%,4.7%,3.2%,8.4%
37,2017,0.0%,2.3%,-0.7%,1.0%,-0.2%,0.5%,4.0%,1.3%,1.6%,3.0%,1.8%,1.1%,16.8%
38,2018,7.2%,-4.1%,-1.3%,0.3%,3.6%,,,,,,,,5.4%
