,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1989,1.1%,0.1%,3.1%,6.3%,0.3%,-0.7%,3.8%,0.4%,2.4%,-0.5%,-0.2%,1.5%,18.6%
1,1990,-2.2%,-0.5%,-5.5%,0.3%,4.6%,1.1%,1.7%,-8.0%,-1.2%,-1.4%,0.5%,1.3%,-9.3%
2,1991,0.4%,2.2%,1.8%,1.2%,3.2%,-3.2%,3.3%,1.7%,-0.0%,1.8%,-1.2%,4.7%,16.9%
3,1992,2.0%,1.1%,-0.0%,0.2%,1.5%,-2.7%,1.8%,0.2%,1.2%,-2.1%,2.3%,2.1%,7.7%
4,1993,3.0%,2.6%,3.3%,-0.2%,1.2%,2.1%,2.8%,3.9%,1.3%,2.8%,-3.1%,3.7%,25.8%
5,1994,2.7%,-2.4%,-4.8%,1.9%,0.4%,-1.1%,1.0%,0.9%,-0.2%,0.9%,-2.3%,-1.4%,-4.5%
6,1995,-2.5%,1.3%,1.1%,1.6%,4.1%,1.6%,0.7%,0.6%,2.5%,-0.5%,3.0%,3.0%,17.8%
7,1996,2.1%,-2.5%,2.0%,3.1%,0.9%,1.0%,-2.6%,2.2%,2.4%,1.0%,4.7%,1.1%,16.3%
8,1997,1.8%,0.5%,-2.8%,1.5%,3.2%,3.3%,3.4%,-3.1%,5.4%,-4.8%,1.7%,1.8%,11.8%
9,1998,0.8%,1.6%,2.4%,0.6%,-1.1%,1.1%,-1.0%,-4.3%,2.0%,-0.7%,1.1%,1.2%,3.6%
10,1999,1.1%,-2.8%,3.8%,4.2%,-2.2%,5.1%,-1.4%,-0.1%,-0.9%,1.2%,2.7%,7.2%,19.0%
11,2000,-1.9%,3.2%,1.6%,-4.7%,-1.3%,3.7%,1.5%,0.6%,-1.0%,-1.1%,1.2%,1.8%,3.4%
12,2001,2.2%,0.8%,0.5%,-0.5%,1.7%,1.8%,-0.9%,1.2%,-0.1%,1.1%,-2.6%,-0.6%,4.5%
13,2002,0.4%,1.3%,-0.5%,-0.4%,-0.3%,-1.8%,-1.4%,3.6%,2.2%,-2.4%,-0.1%,3.3%,3.8%
14,2003,0.8%,2.1%,-2.1%,4.0%,4.6%,-0.3%,1.5%,3.1%,1.5%,5.0%,2.4%,5.4%,31.5%
15,2004,1.8%,2.4%,1.2%,-6.3%,1.0%,1.4%,-1.4%,3.4%,1.7%,2.5%,3.0%,3.5%,14.6%
16,2005,-2.9%,3.8%,-2.6%,-1.1%,2.2%,2.7%,1.6%,0.1%,2.0%,-3.7%,3.7%,3.1%,8.8%
17,2006,7.4%,-1.3%,2.5%,2.8%,-4.1%,-0.3%,0.9%,1.2%,0.6%,2.8%,2.3%,0.4%,15.9%
18,2007,2.1%,-1.5%,1.4%,1.9%,1.8%,-0.4%,-0.5%,0.3%,5.9%,4.8%,-0.7%,0.9%,16.8%
19,2008,1.4%,2.4%,-1.3%,-1.2%,0.0%,0.9%,-1.4%,0.2%,-2.5%,-8.5%,4.8%,6.2%,0.4%
20,2009,-4.4%,-1.2%,0.6%,-1.6%,2.3%,-0.0%,3.1%,0.4%,3.4%,-0.6%,3.3%,0.3%,5.4%
21,2010,-1.8%,1.8%,3.5%,2.8%,-4.1%,0.2%,1.9%,1.9%,1.2%,0.8%,-2.5%,3.7%,9.5%
22,2011,0.0%,3.2%,0.3%,3.4%,-1.4%,-2.1%,1.8%,2.6%,0.5%,1.3%,0.2%,0.1%,10.4%
23,2012,2.3%,-1.2%,0.1%,1.6%,-1.9%,2.7%,2.1%,0.4%,-0.1%,0.2%,0.2%,1.3%,8.0%
24,2013,1.2%,-0.1%,2.0%,3.2%,-1.9%,-2.2%,3.4%,-2.7%,3.0%,2.3%,1.2%,1.1%,10.8%
25,2014,-3.5%,3.1%,0.2%,0.9%,2.1%,0.7%,-0.4%,3.0%,-3.9%,3.6%,1.4%,1.0%,8.2%
26,2015,3.1%,-0.7%,0.4%,-2.1%,-0.8%,-3.0%,-1.0%,-4.0%,0.3%,0.5%,-0.2%,-0.3%,-7.8%
27,2016,-0.6%,1.8%,3.0%,-0.0%,-0.4%,5.0%,0.9%,-0.7%,0.4%,-2.1%,-0.4%,1.3%,8.5%
28,2017,2.4%,1.9%,1.1%,1.0%,1.5%,0.2%,2.3%,1.4%,-0.3%,1.5%,1.0%,1.5%,16.5%
29,2018,4.5%,-3.9%,-0.2%,0.1%,1.4%,,,,,,,,1.7%
