,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1971,3.4%,1.1%,4.0%,3.9%,-3.9%,-0.7%,-2.9%,3.9%,-0.4%,-3.9%,-0.2%,8.8%,12.9%
1,1972,5.7%,6.5%,3.2%,2.3%,3.1%,-2.8%,5.3%,1.0%,-3.4%,1.0%,6.5%,3.2%,35.9%
2,1973,1.6%,8.2%,0.5%,-5.9%,-0.3%,-0.1%,-3.3%,2.6%,3.0%,0.5%,0.7%,-0.5%,6.6%
3,1974,-0.1%,0.3%,-2.4%,-1.9%,1.3%,-1.2%,-1.1%,-1.2%,1.9%,4.4%,1.5%,0.7%,1.8%
4,1975,2.8%,1.3%,-2.1%,-1.0%,1.7%,4.8%,-6.4%,-1.8%,-3.1%,6.3%,2.0%,-0.8%,2.9%
5,1976,12.2%,-0.9%,3.4%,-0.8%,-1.2%,4.4%,-0.5%,-0.2%,2.6%,-1.9%,-0.5%,5.6%,23.6%
6,1977,-4.9%,0.4%,0.7%,0.9%,0.7%,1.4%,-0.1%,1.0%,-0.0%,-0.5%,0.9%,-0.4%,-0.2%
7,1978,-0.2%,0.4%,0.3%,0.1%,-0.7%,4.2%,0.9%,1.9%,2.9%,5.4%,1.0%,-1.0%,16.2%
8,1979,1.7%,-0.6%,2.2%,-0.5%,-2.4%,2.0%,0.8%,-0.5%,0.4%,-6.4%,4.7%,2.1%,3.1%
9,1980,6.0%,0.4%,-10.0%,11.3%,4.5%,2.8%,6.6%,1.3%,2.7%,2.0%,11.0%,-5.9%,35.2%
10,1981,-4.4%,2.1%,3.7%,-2.2%,0.6%,-0.9%,-0.2%,-2.1%,-0.1%,5.8%,8.5%,-3.7%,6.6%
11,1982,0.6%,1.9%,1.3%,2.8%,1.6%,-1.6%,4.3%,5.5%,4.0%,5.3%,1.0%,1.8%,32.3%
12,1983,3.4%,2.5%,3.5%,7.6%,-0.9%,3.7%,-3.2%,1.8%,1.2%,-1.6%,2.3%,4.1%,26.9%
13,1984,4.4%,0.6%,-1.1%,-0.2%,-3.1%,1.3%,4.5%,1.7%,2.4%,4.2%,1.8%,1.5%,19.1%
14,1985,2.1%,1.4%,0.0%,-0.3%,6.0%,1.4%,-0.4%,3.2%,5.8%,6.8%,4.1%,4.7%,40.4%
15,1986,2.5%,11.0%,14.0%,6.5%,-4.5%,6.8%,6.1%,9.8%,-1.1%,-6.7%,5.7%,5.3%,68.9%
16,1987,10.6%,3.0%,8.2%,10.6%,-0.0%,-3.2%,-0.2%,7.5%,-1.6%,-14.2%,0.8%,1.4%,21.9%
17,1988,3.5%,1.2%,-0.9%,-0.5%,-0.7%,2.4%,-0.5%,0.3%,2.3%,1.7%,5.9%,0.5%,15.9%
18,1989,1.7%,0.5%,-2.2%,5.2%,4.0%,-0.6%,9.0%,1.9%,-0.4%,-2.3%,2.0%,2.4%,22.7%
19,1990,-6.7%,1.3%,2.6%,-2.5%,9.7%,-0.7%,-0.5%,-1.3%,0.8%,1.3%,2.1%,1.6%,7.0%
20,1991,1.0%,7.1%,2.4%,0.2%,4.3%,-4.7%,1.2%,2.3%,-1.7%,1.3%,-4.0%,11.4%,21.7%
21,1992,-1.9%,1.2%,-1.9%,2.9%,0.5%,-1.5%,4.0%,-2.1%,1.2%,0.3%,3.4%,1.9%,8.2%
22,1993,0.1%,1.1%,2.2%,-2.8%,2.1%,-1.6%,3.5%,5.4%,-2.3%,3.1%,-8.8%,7.2%,8.5%
23,1994,8.4%,-0.3%,-4.5%,-1.0%,-0.6%,1.2%,1.8%,2.3%,-3.4%,-0.3%,-5.0%,0.7%,-1.4%
24,1995,2.0%,2.2%,2.8%,3.0%,4.0%,2.0%,3.2%,0.4%,4.2%,-0.3%,4.4%,1.6%,33.7%
25,1996,3.6%,0.3%,1.7%,1.1%,2.3%,0.9%,-4.5%,1.9%,5.6%,3.2%,7.3%,-2.4%,22.5%
26,1997,6.2%,1.0%,-4.4%,6.3%,6.3%,4.1%,7.9%,-5.2%,4.8%,-2.5%,3.9%,1.9%,33.5%
27,1998,1.3%,6.9%,4.9%,1.3%,-2.1%,4.3%,-1.4%,-14.1%,6.4%,8.1%,5.6%,6.5%,28.7%
28,1999,3.5%,-3.2%,4.1%,3.8%,-2.3%,5.5%,-3.1%,-0.5%,-2.4%,3.5%,1.7%,5.5%,16.6%
