,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,0.5%,1.6%,5.4%,-0.5%,2.9%,6.8%,0.2%,-4.7%,2.0%,0.0%,-6.3%,-0.4%,7.0%
1,1974,-0.7%,5.7%,2.6%,0.0%,-0.7%,-2.0%,-3.1%,2.2%,0.6%,2.7%,5.9%,1.9%,15.6%
2,1975,-1.7%,2.2%,1.1%,0.5%,1.0%,4.6%,-2.9%,-2.1%,-3.2%,2.4%,2.0%,0.9%,4.6%
3,1976,9.7%,1.5%,1.7%,1.0%,-2.1%,3.4%,1.0%,1.7%,1.9%,0.3%,1.4%,5.7%,30.1%
4,1977,-0.2%,-1.4%,1.2%,0.2%,-0.5%,2.1%,-0.0%,1.0%,1.9%,1.3%,1.5%,1.3%,8.7%
5,1978,1.3%,1.7%,1.4%,-0.9%,1.9%,-0.9%,6.2%,3.9%,1.2%,-1.5%,-5.0%,7.5%,17.1%
6,1979,3.9%,2.1%,2.9%,1.2%,2.9%,4.8%,4.1%,8.2%,8.0%,-7.0%,5.7%,9.5%,56.0%
7,1980,13.7%,-0.3%,-14.8%,2.9%,4.7%,10.6%,2.8%,2.3%,2.2%,2.2%,2.5%,-4.2%,24.0%
8,1981,-1.3%,-0.4%,3.3%,-2.3%,1.9%,0.3%,-1.4%,-4.6%,-2.9%,6.5%,8.4%,-2.6%,4.1%
9,1982,-0.3%,0.5%,0.4%,2.9%,1.0%,-3.0%,3.5%,5.9%,4.1%,9.7%,3.8%,2.5%,35.2%
10,1983,5.6%,-5.5%,4.8%,5.8%,0.8%,0.2%,-1.4%,-0.1%,-0.8%,0.0%,2.1%,-0.3%,11.0%
11,1984,1.6%,-1.5%,-0.1%,0.2%,-4.5%,1.3%,3.8%,3.2%,3.3%,2.9%,0.8%,1.1%,12.6%
12,1985,5.4%,-0.2%,1.6%,1.0%,6.1%,1.8%,0.2%,-0.1%,-1.7%,3.6%,3.8%,2.4%,26.1%
13,1986,1.6%,2.0%,4.6%,-0.4%,1.0%,2.5%,-0.9%,6.1%,0.3%,0.9%,-0.9%,-3.5%,13.7%
14,1987,7.3%,2.9%,2.2%,1.9%,-0.1%,2.3%,2.8%,-0.2%,-0.6%,-11.7%,-1.1%,0.6%,5.2%
15,1988,1.2%,-1.5%,-2.6%,-1.7%,-1.3%,3.9%,-0.7%,-1.3%,3.0%,1.8%,-2.1%,0.8%,-0.7%
16,1989,4.0%,-1.7%,1.3%,3.6%,3.0%,2.7%,4.9%,0.1%,-0.3%,-0.2%,0.9%,0.6%,20.3%
17,1990,-5.2%,-0.4%,-2.0%,-1.6%,6.2%,1.2%,0.5%,-5.6%,1.0%,2.1%,3.8%,2.0%,1.2%
18,1991,1.1%,0.6%,3.7%,1.3%,1.8%,-2.8%,2.7%,2.0%,1.4%,-0.1%,-1.4%,8.5%,19.9%
19,1992,-0.2%,-0.3%,-1.6%,0.7%,2.7%,-0.5%,4.3%,-0.2%,1.4%,-0.7%,2.2%,2.2%,10.3%
20,1993,3.1%,3.6%,3.6%,-2.2%,0.4%,1.5%,3.0%,-0.8%,-0.1%,1.3%,-2.1%,2.1%,14.1%
21,1994,1.4%,0.4%,-1.8%,-0.3%,2.2%,-1.6%,0.3%,0.3%,-0.8%,-1.1%,-1.7%,1.2%,-1.6%
22,1995,2.8%,3.6%,1.5%,2.1%,6.5%,1.5%,0.9%,1.6%,2.9%,0.1%,2.8%,3.4%,33.6%
23,1996,1.5%,0.0%,-0.1%,0.2%,1.5%,-0.3%,-1.3%,1.6%,3.4%,3.4%,5.4%,1.6%,18.2%
24,1997,1.9%,0.5%,-2.6%,2.0%,3.4%,3.7%,6.1%,-3.0%,5.5%,-0.4%,2.7%,2.1%,23.7%
25,1998,1.0%,1.4%,2.3%,-0.5%,-0.1%,2.2%,-3.0%,-1.3%,5.4%,1.7%,2.1%,2.4%,14.3%
