,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1975,4.6%,1.8%,-1.7%,0.1%,1.9%,2.7%,-1.5%,-0.5%,-2.0%,4.1%,-0.1%,3.7%,13.6%
1,1976,4.3%,1.2%,1.6%,0.4%,-1.4%,2.1%,0.9%,2.0%,1.5%,1.0%,2.8%,3.2%,21.6%
2,1977,-1.9%,0.0%,0.6%,0.7%,0.6%,2.5%,-0.5%,0.9%,-0.1%,-1.0%,1.8%,-0.1%,3.6%
3,1978,-1.5%,0.0%,1.5%,1.9%,-0.9%,-0.5%,2.2%,2.5%,-0.3%,-4.0%,1.7%,-0.1%,2.4%
4,1979,2.7%,-0.6%,2.8%,-0.2%,1.1%,3.7%,0.7%,2.6%,-1.3%,-7.4%,2.8%,0.9%,7.8%
5,1980,-0.4%,-5.0%,-3.5%,8.8%,4.9%,3.3%,1.3%,-1.6%,-0.5%,1.6%,2.0%,-0.2%,10.4%
6,1981,-0.9%,-0.9%,2.8%,-2.7%,2.5%,0.2%,-1.7%,-3.6%,-3.2%,5.8%,7.4%,-3.7%,1.4%
7,1982,-0.4%,-0.7%,-0.0%,3.2%,0.3%,-2.7%,2.1%,7.0%,4.6%,8.6%,2.6%,2.0%,29.4%
8,1983,1.5%,2.2%,3.4%,5.3%,-1.0%,1.2%,-3.2%,0.5%,1.8%,0.5%,1.7%,0.2%,14.8%
9,1984,2.1%,-1.2%,-0.4%,0.3%,-3.8%,1.2%,2.0%,4.6%,3.5%,3.1%,1.4%,1.2%,14.7%
10,1985,4.4%,-0.6%,1.6%,1.5%,5.8%,1.3%,0.1%,0.5%,-1.1%,3.0%,2.8%,2.5%,23.8%
11,1986,1.6%,5.2%,5.1%,-0.1%,-0.6%,3.6%,-1.2%,3.9%,-2.6%,2.4%,1.1%,-2.0%,17.3%
12,1987,4.6%,2.0%,-0.1%,-2.4%,-0.5%,2.4%,0.3%,-0.7%,-2.1%,-6.0%,-0.0%,2.9%,-0.0%
13,1988,4.4%,2.4%,-1.3%,-0.4%,-0.9%,3.2%,-0.2%,-0.3%,2.4%,1.5%,-1.4%,0.5%,10.3%
14,1989,2.3%,-1.0%,0.8%,2.6%,2.9%,2.7%,3.2%,-0.8%,0.0%,1.0%,0.8%,0.4%,16.0%
15,1990,-3.0%,0.2%,0.6%,-1.6%,3.3%,1.5%,0.6%,-3.9%,-1.5%,0.2%,4.1%,1.5%,1.6%
16,1991,3.6%,2.0%,2.6%,1.3%,1.2%,-1.3%,1.7%,2.2%,2.0%,0.6%,0.1%,5.6%,23.6%
17,1992,-1.0%,0.2%,-0.9%,0.6%,2.4%,0.8%,3.3%,0.5%,1.7%,-1.3%,0.7%,1.9%,9.2%
18,1993,2.8%,2.8%,2.1%,-0.6%,0.1%,2.4%,0.5%,3.0%,1.0%,0.4%,-2.2%,0.6%,13.3%
19,1994,2.1%,-1.6%,-3.4%,-0.2%,0.6%,-1.1%,1.8%,0.9%,-2.0%,-0.4%,-1.5%,2.1%,-2.7%
20,1995,1.6%,3.0%,1.2%,1.6%,4.8%,1.3%,0.7%,1.2%,2.1%,0.4%,2.4%,2.4%,25.0%
21,1996,1.4%,-1.3%,-0.2%,-0.3%,0.9%,1.3%,-0.8%,1.1%,2.8%,3.0%,4.0%,1.2%,13.6%
22,1997,1.5%,0.3%,-1.8%,1.5%,2.4%,2.7%,4.3%,-1.8%,4.0%,-0.0%,1.3%,1.5%,16.7%
23,1998,1.0%,0.5%,1.5%,-0.3%,0.2%,1.1%,-1.6%,-2.9%,4.5%,-0.0%,1.3%,0.8%,5.8%
24,1999,0.7%,-3.2%,0.8%,2.1%,-1.2%,-0.0%,-1.2%,-0.4%,-0.2%,0.4%,-0.2%,0.6%,-1.9%
25,2000,-1.1%,0.3%,3.3%,0.2%,-0.2%,2.4%,1.9%,1.3%,0.4%,-0.4%,0.6%,2.7%,11.6%
26,2001,2.1%,-0.8%,-0.1%,0.6%,0.7%,0.8%,1.8%,0.7%,-0.9%,1.5%,0.7%,-0.3%,6.9%
27,2002,0.3%,0.7%,-0.8%,0.9%,0.8%,-0.3%,-0.8%,2.1%,0.2%,-0.7%,0.9%,2.0%,5.6%
28,2003,-1.4%,1.6%,0.3%,2.6%,4.4%,0.2%,-2.5%,1.0%,3.6%,0.3%,1.2%,2.9%,15.0%
29,2004,2.0%,1.6%,1.8%,-6.1%,1.2%,1.1%,0.3%,3.2%,0.4%,1.8%,0.5%,2.2%,10.0%
30,2005,-1.1%,0.2%,-1.1%,1.8%,2.1%,1.2%,0.8%,0.3%,-0.8%,-1.9%,2.1%,0.6%,4.1%
31,2006,1.3%,0.6%,0.2%,-0.4%,-1.4%,0.7%,1.5%,2.2%,1.6%,1.9%,1.9%,-0.5%,10.0%
32,2007,1.1%,0.5%,-0.1%,1.7%,-0.1%,-1.7%,-1.0%,2.5%,1.5%,1.2%,0.1%,-1.0%,4.7%
33,2008,0.7%,-0.6%,0.7%,1.0%,-1.1%,-2.7%,0.5%,1.2%,-4.9%,-7.1%,2.3%,7.7%,-3.0%
34,2009,-5.5%,-5.5%,3.6%,3.8%,0.6%,0.1%,3.6%,2.4%,2.1%,-0.8%,3.0%,-1.9%,5.1%
35,2010,0.5%,1.3%,1.4%,2.1%,-0.5%,1.1%,2.8%,1.6%,1.9%,0.9%,-1.0%,-0.6%,12.1%
36,2011,0.6%,1.1%,-0.3%,2.5%,1.6%,-1.0%,2.0%,1.1%,-0.8%,2.9%,-0.9%,2.4%,11.7%
37,2012,2.2%,0.3%,-0.3%,1.7%,0.2%,1.1%,1.9%,0.3%,0.3%,-0.2%,0.3%,-0.0%,8.2%
38,2013,0.1%,1.1%,1.0%,2.2%,-2.5%,-2.4%,1.2%,-2.2%,2.0%,2.2%,-0.4%,-0.4%,1.8%
39,2014,1.6%,1.9%,-0.0%,1.1%,1.9%,0.4%,-0.4%,2.4%,-1.8%,2.5%,1.6%,0.2%,11.8%
40,2015,2.7%,-0.2%,0.1%,-0.9%,-0.2%,-2.1%,2.0%,-2.6%,0.5%,2.8%,-0.2%,-0.8%,1.0%
41,2016,-0.4%,0.8%,3.8%,0.2%,0.4%,2.9%,1.7%,-0.7%,-0.2%,-1.9%,-1.9%,1.2%,5.9%
42,2017,0.5%,1.9%,-0.3%,1.0%,1.0%,0.3%,1.0%,0.8%,-0.1%,0.4%,0.9%,0.7%,8.4%
43,2018,-0.2%,-2.5%,0.5%,-0.8%,0.8%,,,,,,,,-2.4%
