,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1980,7.8%,0.7%,-10.0%,2.2%,2.7%,5.4%,2.4%,1.8%,1.4%,3.4%,1.5%,-2.4%,16.9%
1,1981,-1.1%,1.0%,2.1%,1.0%,0.3%,0.5%,-0.6%,-0.4%,0.8%,1.2%,1.8%,-0.7%,6.1%
2,1982,0.1%,-0.3%,1.2%,1.7%,0.2%,-1.5%,1.7%,2.7%,1.9%,6.4%,2.9%,2.5%,21.3%
3,1983,2.2%,-0.2%,3.4%,5.2%,0.1%,1.3%,-1.3%,-0.6%,0.1%,-0.2%,1.7%,2.2%,14.7%
4,1984,3.1%,-0.3%,1.5%,0.4%,-1.8%,-0.6%,-0.6%,1.8%,2.3%,1.7%,0.9%,1.8%,10.6%
5,1985,3.0%,0.3%,1.8%,0.3%,3.7%,2.1%,1.2%,1.0%,0.3%,4.1%,2.6%,1.9%,24.4%
6,1986,1.3%,5.4%,6.1%,1.2%,-0.2%,3.0%,-0.8%,3.7%,-1.6%,-0.9%,0.9%,0.1%,19.3%
7,1987,4.0%,1.5%,3.3%,1.6%,0.6%,2.9%,2.5%,2.2%,-3.0%,-6.7%,1.0%,0.1%,9.9%
8,1988,0.7%,0.4%,2.1%,1.1%,-0.2%,1.6%,-0.0%,-1.4%,1.5%,1.4%,0.2%,1.7%,9.6%
9,1989,2.1%,0.8%,2.2%,4.4%,0.9%,0.3%,3.1%,0.3%,2.2%,-0.9%,1.5%,2.2%,20.7%
10,1990,-2.3%,-0.4%,-2.1%,0.7%,0.9%,1.0%,1.4%,-1.5%,1.1%,-0.6%,0.3%,0.5%,-1.0%
11,1991,-0.6%,1.7%,2.2%,1.0%,2.1%,-2.5%,2.3%,1.1%,0.6%,1.2%,-1.7%,4.8%,12.5%
12,1992,1.6%,0.1%,-0.5%,0.1%,1.8%,-1.4%,1.8%,-0.5%,0.6%,-0.6%,1.4%,1.4%,6.0%
13,1993,2.6%,2.2%,4.0%,0.0%,1.4%,1.7%,2.1%,2.7%,1.2%,1.2%,-2.6%,2.9%,21.0%
14,1994,1.4%,-0.3%,-2.9%,1.4%,0.4%,-0.2%,0.3%,1.3%,-0.2%,0.3%,-1.4%,-0.4%,-0.5%
15,1995,0.9%,1.1%,1.2%,1.6%,2.4%,0.7%,1.7%,0.1%,1.7%,-0.9%,1.9%,2.8%,16.2%
16,1996,1.8%,0.2%,1.0%,1.5%,0.5%,0.8%,-1.7%,2.2%,2.1%,1.1%,3.5%,1.9%,15.7%
17,1997,0.6%,0.1%,-1.3%,0.5%,3.0%,3.2%,3.2%,-3.1%,4.0%,-1.4%,1.1%,1.5%,11.7%
18,1998,0.2%,1.7%,1.9%,-0.0%,-0.0%,1.2%,-0.2%,-2.7%,1.3%,-0.0%,1.1%,1.9%,6.5%
19,1999,0.8%,-1.4%,2.5%,2.9%,-0.9%,3.2%,-0.9%,-0.0%,0.1%,1.2%,1.7%,4.1%,13.8%
20,2000,-0.6%,2.2%,0.5%,-1.3%,-0.4%,1.6%,0.4%,1.9%,0.2%,-1.3%,0.7%,2.2%,6.3%
21,2001,0.7%,-0.2%,-0.1%,0.6%,0.8%,1.4%,-0.0%,0.9%,-1.0%,-0.4%,-0.6%,0.6%,2.8%
22,2002,0.6%,1.2%,1.8%,0.6%,0.7%,-1.1%,-4.1%,1.4%,0.0%,-0.6%,-0.0%,2.2%,2.6%
23,2003,1.4%,0.3%,-1.2%,-0.2%,5.7%,0.8%,1.6%,2.8%,1.1%,3.6%,2.6%,4.5%,25.5%
24,2004,1.7%,2.1%,2.3%,-6.8%,1.0%,1.6%,-1.1%,2.4%,1.8%,3.3%,4.0%,1.9%,14.8%
25,2005,-2.2%,3.8%,-1.6%,-0.0%,1.1%,3.0%,3.6%,0.6%,2.2%,-3.2%,3.0%,2.3%,13.1%
26,2006,6.4%,-0.7%,2.6%,2.6%,-2.9%,0.5%,1.8%,1.2%,-0.2%,2.3%,2.9%,0.0%,17.4%
27,2007,2.1%,-0.6%,0.7%,1.8%,0.8%,-2.1%,-0.5%,0.6%,4.7%,4.0%,-1.3%,1.1%,11.7%
28,2008,0.2%,1.9%,-0.3%,-0.1%,1.0%,-2.0%,-0.9%,-1.5%,-1.1%,-7.5%,1.1%,0.9%,-8.4%
29,2009,-0.8%,-0.2%,0.1%,-0.7%,2.9%,-0.7%,3.1%,3.6%,4.3%,-1.2%,5.6%,1.1%,18.3%
30,2010,-4.4%,2.7%,5.2%,3.1%,-5.4%,-1.7%,1.5%,-0.6%,2.6%,3.2%,-1.2%,4.8%,9.4%
31,2011,0.4%,3.2%,0.7%,4.1%,-1.3%,-2.1%,1.1%,-1.8%,-2.0%,0.4%,-0.8%,-0.6%,1.1%
32,2012,1.4%,0.1%,0.7%,0.4%,-4.8%,1.8%,1.0%,0.5%,0.9%,-1.2%,0.5%,1.7%,3.0%
33,2013,2.0%,-0.4%,1.6%,2.3%,-2.6%,-0.8%,1.9%,-2.4%,1.5%,1.3%,-0.5%,0.7%,4.5%
34,2014,-1.9%,2.9%,-0.4%,1.1%,1.6%,1.4%,-1.5%,2.0%,-4.0%,2.6%,1.0%,0.6%,5.3%
35,2015,1.8%,-1.0%,0.2%,-1.2%,-0.2%,-0.8%,0.5%,-1.7%,-0.0%,-0.1%,-0.1%,0.2%,-2.5%
36,2016,-1.1%,0.2%,2.4%,0.3%,-0.2%,4.1%,1.8%,-1.0%,0.6%,-2.8%,-0.6%,0.9%,4.5%
37,2017,1.3%,0.9%,-0.0%,0.4%,1.0%,0.2%,1.7%,0.9%,0.0%,1.1%,1.4%,1.2%,10.6%
38,2018,2.1%,-2.3%,-0.0%,0.2%,1.2%,,,,,,,,1.0%
