,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,1.4%,4.3%,1.0%,-0.1%,1.5%,1.1%,0.7%,0.8%,0.6%,0.6%,-0.2%,-1.1%,11.0%
1,1974,0.7%,0.5%,0.7%,0.7%,0.7%,0.6%,0.7%,0.8%,0.6%,0.7%,0.6%,0.5%,8.1%
2,1975,-0.4%,0.3%,-2.1%,1.4%,2.1%,1.7%,-2.0%,-1.8%,-3.4%,0.8%,-0.1%,0.8%,-2.7%
3,1976,4.0%,1.9%,1.3%,-0.3%,-1.8%,2.8%,0.1%,1.5%,1.5%,0.3%,2.9%,2.8%,18.2%
4,1977,-1.4%,1.4%,0.9%,0.7%,-0.4%,2.9%,-0.2%,1.6%,1.7%,0.5%,1.6%,2.3%,12.3%
5,1978,1.0%,2.3%,4.0%,0.7%,2.5%,0.7%,3.2%,3.5%,1.2%,-1.7%,-0.6%,3.2%,21.5%
6,1979,1.5%,1.7%,2.0%,2.1%,0.2%,2.6%,1.8%,6.0%,3.9%,-5.2%,2.7%,3.0%,24.4%
7,1980,4.1%,0.5%,-3.5%,1.1%,1.3%,7.3%,1.4%,3.9%,1.6%,1.6%,0.9%,-2.1%,19.1%
8,1981,0.2%,0.7%,1.6%,1.4%,1.2%,1.1%,0.6%,1.3%,1.2%,1.2%,0.8%,-3.4%,8.0%
9,1982,1.0%,0.9%,0.5%,2.8%,1.9%,-2.6%,0.8%,5.9%,5.3%,7.3%,2.2%,1.8%,31.2%
10,1983,3.0%,0.3%,1.1%,5.8%,1.7%,2.3%,-2.3%,-1.2%,1.2%,-1.2%,1.6%,1.6%,14.4%
11,1984,2.8%,0.4%,1.4%,0.6%,-0.1%,0.8%,0.8%,0.9%,1.8%,4.5%,1.9%,1.1%,18.3%
12,1985,2.9%,-1.4%,1.1%,0.5%,6.7%,1.6%,0.6%,2.0%,2.8%,4.4%,3.2%,1.9%,29.6%
13,1986,1.0%,9.6%,8.6%,3.2%,-1.1%,3.8%,-2.1%,5.2%,-1.3%,-1.0%,1.7%,-0.4%,29.7%
14,1987,2.2%,1.9%,3.8%,2.8%,0.7%,2.0%,3.0%,5.2%,-3.4%,-8.5%,0.5%,0.5%,10.6%
15,1988,0.4%,1.4%,-1.1%,-0.9%,-1.0%,0.5%,-0.6%,-1.4%,0.7%,0.8%,-0.1%,1.5%,0.0%
16,1989,1.3%,1.2%,2.5%,4.8%,1.8%,0.3%,3.2%,0.5%,2.4%,-1.6%,0.6%,4.1%,23.0%
17,1990,-3.3%,-0.0%,-0.0%,0.4%,0.7%,0.8%,0.9%,-2.0%,0.6%,0.7%,0.5%,1.8%,0.8%
18,1991,1.0%,0.5%,1.5%,0.7%,2.2%,-2.9%,2.0%,2.7%,1.4%,1.4%,-1.6%,7.0%,16.9%
19,1992,0.9%,1.2%,-1.4%,-0.6%,2.1%,-1.1%,2.7%,-0.1%,2.3%,-1.8%,0.4%,2.3%,7.0%
20,1993,2.9%,2.4%,1.6%,0.8%,1.2%,1.3%,2.1%,2.7%,1.2%,2.1%,-4.2%,3.6%,18.8%
21,1994,1.5%,-1.0%,-4.6%,1.0%,0.3%,0.2%,0.3%,0.7%,-0.6%,0.7%,-0.7%,0.5%,-1.9%
22,1995,0.5%,0.3%,1.1%,2.1%,4.6%,1.8%,0.8%,0.7%,1.7%,0.6%,2.3%,1.3%,19.2%
23,1996,0.6%,0.1%,1.6%,3.7%,0.3%,0.0%,-2.3%,0.9%,2.6%,0.8%,4.5%,0.3%,13.7%
24,1997,2.1%,-1.5%,-2.2%,0.9%,2.8%,2.1%,5.2%,-2.3%,3.1%,0.4%,0.9%,1.0%,13.0%
25,1998,1.7%,1.4%,1.2%,0.5%,0.3%,1.9%,0.2%,3.5%,4.7%,-0.8%,-0.8%,1.3%,16.1%
26,1999,1.0%,-3.9%,1.1%,1.7%,-2.2%,2.6%,0.0%,0.6%,0.4%,1.5%,1.6%,5.8%,10.2%
27,2000,-0.6%,4.0%,0.6%,-3.4%,-2.6%,1.8%,-1.0%,3.3%,-1.4%,-0.1%,2.5%,2.4%,5.4%
28,2001,0.8%,1.3%,0.6%,-1.7%,0.2%,0.5%,2.9%,1.2%,2.5%,2.5%,-2.7%,-1.4%,6.7%
29,2002,0.6%,1.1%,-3.0%,0.2%,0.5%,-1.4%,3.1%,2.5%,3.9%,-1.3%,-2.1%,3.5%,7.7%
30,2003,-0.8%,2.2%,-0.4%,0.0%,4.5%,-0.4%,4.6%,2.8%,0.3%,6.7%,1.6%,4.9%,29.1%
31,2004,2.4%,1.4%,3.1%,-6.0%,1.2%,2.0%,-2.4%,2.2%,1.8%,2.7%,3.5%,1.3%,13.6%
32,2005,-2.9%,4.2%,-2.0%,-1.0%,1.2%,2.3%,3.2%,0.2%,3.4%,-3.3%,2.6%,2.4%,10.5%
33,2006,8.3%,-1.2%,4.0%,2.7%,-2.9%,0.1%,1.2%,0.6%,-0.5%,3.6%,3.7%,0.7%,21.7%
34,2007,2.6%,-1.6%,1.3%,3.5%,3.0%,-1.4%,-1.1%,0.5%,5.1%,5.8%,-2.8%,0.8%,16.4%
35,2008,0.4%,1.2%,1.3%,-2.4%,-1.8%,0.4%,0.7%,1.5%,-0.1%,-0.9%,7.8%,5.2%,13.7%
36,2009,-3.9%,-0.7%,3.3%,-2.7%,-2.1%,-0.6%,0.7%,0.7%,3.1%,-2.9%,4.9%,0.7%,0.2%
