,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1989,2.4%,-0.9%,5.8%,8.7%,-0.0%,-1.0%,3.3%,-1.5%,7.9%,1.1%,0.8%,2.0%,31.7%
1,1990,-1.1%,-0.3%,-5.7%,-2.0%,5.6%,2.2%,2.3%,-9.7%,1.8%,0.7%,2.6%,1.4%,-3.1%
2,1991,-1.1%,0.6%,0.2%,1.3%,1.3%,-4.5%,1.1%,0.4%,3.0%,0.6%,-1.4%,3.6%,5.0%
3,1992,-2.9%,0.8%,-1.3%,0.3%,1.9%,-5.2%,-0.6%,0.7%,1.6%,-2.2%,1.5%,1.9%,-3.5%
4,1993,2.9%,3.8%,2.6%,1.4%,-0.4%,2.0%,2.1%,2.7%,1.4%,4.4%,-3.6%,2.7%,24.2%
5,1994,2.0%,-3.5%,-2.2%,2.2%,-0.3%,0.6%,-0.7%,-0.1%,-0.9%,0.7%,-2.8%,-0.6%,-5.9%
6,1995,-0.4%,2.5%,1.8%,2.0%,5.8%,1.1%,2.9%,-1.9%,1.5%,0.5%,2.1%,2.0%,21.5%
7,1996,-2.1%,-1.8%,1.6%,2.9%,-0.9%,1.3%,-5.2%,4.3%,2.1%,2.3%,4.8%,2.0%,11.2%
8,1997,-0.0%,-0.7%,-0.4%,-2.3%,3.1%,4.2%,0.9%,-4.4%,7.5%,-3.0%,2.0%,1.9%,8.5%
9,1998,1.6%,-1.1%,1.1%,0.6%,0.7%,1.3%,0.3%,3.1%,4.9%,-0.3%,0.4%,1.5%,14.8%
10,1999,0.8%,-3.7%,7.4%,9.0%,-2.8%,8.5%,-0.4%,-0.5%,0.0%,-1.0%,4.0%,8.2%,32.2%
11,2000,0.9%,3.4%,-0.0%,-6.0%,1.4%,2.8%,0.5%,1.3%,-1.2%,0.4%,2.3%,3.5%,9.4%
12,2001,1.1%,0.1%,-0.6%,-0.6%,0.8%,3.3%,1.0%,2.0%,0.5%,0.9%,-0.8%,1.1%,9.1%
13,2002,1.1%,2.0%,-0.0%,2.2%,3.9%,-1.4%,-4.1%,1.7%,1.1%,-2.6%,-0.3%,3.1%,6.5%
14,2003,-0.5%,1.7%,-1.2%,1.8%,6.4%,-0.1%,2.2%,2.2%,2.7%,3.2%,3.9%,4.5%,29.8%
15,2004,2.5%,2.0%,2.5%,-8.4%,2.4%,-0.0%,1.5%,2.5%,2.2%,3.4%,6.8%,3.9%,22.6%
16,2005,-3.5%,4.7%,-1.7%,-2.8%,2.4%,1.0%,0.8%,0.0%,-0.8%,-3.7%,3.4%,5.0%,4.2%
17,2006,6.8%,1.5%,3.8%,3.1%,-2.9%,0.5%,3.1%,1.9%,2.0%,1.2%,2.8%,-0.1%,26.2%
18,2007,1.5%,-0.4%,1.1%,2.1%,2.7%,-1.5%,-0.9%,1.4%,8.9%,5.6%,2.3%,0.5%,25.3%
19,2008,1.8%,2.0%,0.1%,-0.6%,-0.4%,-0.9%,0.0%,0.6%,-2.0%,-7.1%,6.8%,4.8%,4.6%
20,2009,-4.1%,-1.9%,3.7%,-1.1%,-0.8%,-4.8%,6.9%,3.7%,3.5%,-2.1%,12.1%,-6.7%,7.2%
21,2010,-3.7%,3.4%,4.3%,1.4%,-4.2%,2.0%,1.7%,2.1%,2.8%,1.9%,-2.1%,6.4%,16.7%
22,2011,2.2%,4.3%,0.5%,4.3%,-1.4%,-2.0%,6.0%,3.7%,-2.1%,-1.2%,0.4%,1.8%,17.3%
23,2012,1.7%,0.9%,0.5%,-0.3%,0.5%,0.4%,1.7%,0.2%,0.9%,-0.0%,1.0%,0.9%,8.8%
24,2013,1.3%,1.1%,0.7%,5.4%,-3.3%,-1.4%,5.4%,-3.2%,1.4%,4.5%,0.3%,1.9%,14.4%
25,2014,-3.9%,1.0%,0.4%,1.2%,1.3%,0.3%,-1.0%,3.6%,-2.4%,1.6%,2.3%,-0.1%,4.2%
26,2015,2.9%,-0.3%,-0.2%,-0.2%,-0.1%,-2.8%,0.7%,-1.4%,0.8%,1.0%,-0.6%,-0.8%,-1.2%
27,2016,1.5%,1.3%,1.0%,1.3%,-0.4%,2.4%,0.2%,-0.9%,-0.6%,-2.3%,-2.1%,1.3%,2.5%
28,2017,0.9%,3.4%,-0.3%,0.2%,1.9%,-0.2%,2.3%,0.0%,-0.5%,2.6%,2.1%,1.5%,14.9%
29,2018,5.1%,-3.7%,1.5%,2.5%,0.8%,,,,,,,,6.2%
