,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1971,3.9%,1.0%,3.2%,-0.4%,2.0%,5.9%,-2.5%,-2.9%,0.5%,-2.0%,-2.8%,5.7%,11.8%
1,1972,4.3%,5.6%,2.5%,2.2%,3.4%,-0.6%,3.1%,1.3%,0.2%,2.4%,8.3%,4.9%,44.5%
2,1973,2.7%,9.8%,-0.6%,-7.3%,1.8%,1.0%,2.4%,-2.0%,-1.1%,1.0%,-0.9%,-1.1%,5.0%
3,1974,0.9%,0.7%,-0.7%,0.7%,0.7%,0.6%,0.7%,0.8%,0.6%,0.7%,0.6%,0.5%,7.0%
4,1975,-0.4%,3.5%,-0.8%,2.0%,0.1%,1.6%,-1.6%,-1.6%,-1.0%,1.2%,0.5%,0.5%,4.1%
5,1976,4.1%,-0.1%,1.2%,-0.5%,-1.7%,3.6%,-0.6%,1.2%,1.4%,-1.8%,2.8%,1.9%,11.8%
6,1977,-3.5%,1.1%,0.2%,1.1%,-0.1%,2.8%,0.4%,2.0%,1.8%,1.1%,0.3%,2.4%,9.9%
7,1978,1.0%,3.5%,5.5%,2.5%,2.3%,4.8%,6.5%,2.7%,0.7%,-0.6%,-6.7%,2.8%,27.4%
8,1979,0.4%,-2.4%,1.7%,1.3%,-1.4%,1.9%,0.6%,3.4%,1.6%,-5.5%,1.7%,2.6%,5.8%
9,1980,4.8%,0.3%,-8.3%,2.0%,2.6%,3.2%,-0.7%,2.3%,1.7%,2.6%,2.3%,-1.7%,11.0%
10,1981,0.1%,0.0%,2.3%,2.7%,-0.9%,0.6%,-2.9%,-0.3%,-1.5%,1.2%,0.8%,-2.0%,-0.0%
11,1982,1.0%,1.0%,0.7%,2.3%,1.6%,1.1%,0.9%,4.5%,5.0%,5.2%,0.6%,2.8%,29.8%
12,1983,-1.9%,4.0%,1.1%,5.8%,0.2%,1.9%,-2.4%,-1.2%,2.9%,-1.5%,1.5%,3.1%,14.0%
13,1984,6.2%,-0.7%,6.7%,-0.1%,-6.6%,-1.2%,0.8%,0.9%,0.9%,5.0%,2.2%,1.1%,15.6%
14,1985,3.2%,-3.0%,2.0%,1.0%,7.9%,1.0%,-1.2%,2.2%,4.1%,5.2%,2.4%,0.3%,27.5%
15,1986,1.4%,9.2%,12.2%,2.8%,-0.1%,4.0%,2.4%,6.1%,-1.5%,-4.3%,2.8%,2.5%,43.3%
16,1987,6.2%,2.0%,3.8%,4.8%,-0.1%,-2.0%,2.2%,7.4%,-7.1%,-14.3%,1.3%,0.7%,2.7%
17,1988,3.0%,2.7%,2.4%,0.3%,-0.4%,1.0%,-0.3%,-2.0%,0.5%,1.3%,3.7%,1.1%,14.0%
18,1989,0.5%,1.4%,1.4%,6.2%,2.2%,-4.0%,5.2%,-0.1%,2.9%,-0.3%,-0.3%,3.5%,19.8%
19,1990,-2.9%,1.4%,-2.9%,-0.2%,2.5%,1.0%,0.7%,-6.8%,0.6%,0.7%,0.5%,1.8%,-4.0%
20,1991,1.0%,2.1%,1.6%,0.2%,1.4%,-2.2%,2.2%,1.4%,1.2%,2.4%,-1.2%,8.6%,19.9%
21,1992,2.2%,2.2%,-1.0%,-1.1%,1.0%,-2.2%,3.2%,1.3%,2.3%,-2.5%,1.2%,2.0%,8.7%
22,1993,1.4%,0.7%,0.4%,6.3%,0.7%,-0.2%,3.3%,4.2%,-0.2%,3.4%,-5.6%,5.2%,20.8%
23,1994,2.9%,-0.3%,-6.5%,3.4%,0.0%,0.9%,0.8%,3.0%,-0.9%,1.8%,-2.6%,-1.4%,0.6%
24,1995,-1.2%,1.3%,2.0%,3.0%,4.1%,3.6%,1.6%,1.0%,2.1%,1.3%,2.1%,0.5%,23.3%
25,1996,1.7%,-0.4%,1.0%,4.2%,-0.1%,0.0%,-5.3%,1.0%,5.0%,1.2%,5.7%,-2.1%,11.8%
26,1997,4.9%,0.1%,-3.9%,3.1%,4.7%,2.6%,5.8%,-7.2%,1.9%,-2.1%,1.7%,0.2%,11.5%
27,1998,1.7%,3.9%,2.0%,1.1%,-1.4%,3.2%,0.4%,-11.0%,4.6%,0.4%,2.2%,5.6%,12.5%
28,1999,4.2%,-5.0%,2.7%,1.1%,-0.8%,3.4%,-0.4%,0.7%,-0.2%,3.8%,4.2%,8.8%,24.2%
29,2000,-1.3%,4.4%,1.0%,-5.4%,-3.4%,3.5%,-0.5%,4.6%,-2.9%,0.9%,2.5%,2.4%,5.3%
30,2001,0.8%,1.3%,0.6%,-1.7%,0.2%,0.5%,2.9%,1.2%,2.5%,2.5%,-2.7%,-1.5%,6.6%
31,2002,1.3%,1.2%,-0.8%,-1.1%,-0.1%,-2.5%,3.1%,2.5%,3.9%,-1.3%,-2.1%,3.5%,7.7%
32,2003,-0.8%,2.2%,-0.4%,0.0%,4.0%,-0.8%,0.0%,4.0%,2.2%,5.4%,0.2%,6.5%,24.6%
33,2004,1.3%,1.4%,2.3%,-5.5%,0.3%,3.6%,-5.7%,1.9%,0.1%,2.3%,5.6%,3.3%,10.7%
