,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1989,0.9%,0.4%,1.6%,4.8%,-0.1%,-0.7%,4.1%,-0.1%,2.3%,-0.6%,3.1%,1.0%,18.0%
1,1990,-2.9%,-0.9%,-5.0%,-0.7%,4.1%,0.5%,2.3%,-7.5%,-3.2%,-0.7%,2.5%,1.8%,-9.8%
2,1991,3.2%,4.4%,1.1%,0.8%,2.1%,-2.1%,1.7%,0.1%,2.0%,0.6%,-0.2%,4.9%,20.3%
3,1992,1.0%,0.3%,-2.1%,-0.8%,1.8%,-1.4%,3.6%,-1.5%,1.3%,-0.9%,1.0%,1.5%,3.7%
4,1993,1.6%,1.8%,3.9%,2.8%,3.0%,1.6%,3.0%,3.4%,1.2%,3.6%,-2.5%,5.6%,33.0%
5,1994,1.2%,-1.4%,-3.6%,0.7%,0.7%,-1.0%,1.5%,3.1%,-0.4%,-0.2%,-2.6%,0.4%,-1.7%
6,1995,-2.5%,2.2%,2.9%,1.3%,2.1%,1.3%,2.0%,-0.3%,1.0%,-1.3%,1.7%,2.1%,13.2%
7,1996,3.5%,-0.9%,0.4%,1.6%,-0.1%,-1.1%,-1.7%,0.8%,0.2%,0.1%,1.4%,-0.2%,3.9%
8,1997,-2.2%,2.9%,-2.6%,-0.5%,3.6%,1.9%,1.5%,-4.9%,4.4%,-5.9%,-0.7%,0.4%,-2.7%
9,1998,2.4%,1.3%,1.5%,0.3%,-3.3%,1.2%,-1.8%,-3.0%,5.9%,0.1%,2.2%,0.5%,7.0%
10,1999,0.6%,-3.3%,0.5%,4.3%,-2.4%,1.6%,-1.4%,-0.2%,5.0%,1.1%,1.7%,4.2%,11.9%
11,2000,-0.9%,2.9%,2.1%,-1.6%,-1.1%,4.0%,0.7%,0.8%,-2.2%,-2.5%,0.0%,2.4%,4.4%
12,2001,0.3%,-1.3%,-3.4%,1.6%,0.5%,1.4%,-0.5%,1.1%,-2.4%,2.1%,0.5%,1.0%,0.6%
13,2002,0.7%,2.1%,1.6%,1.7%,1.0%,-2.0%,-2.6%,3.3%,0.1%,-0.8%,1.7%,3.9%,11.0%
14,2003,1.0%,-0.7%,-1.5%,3.8%,7.1%,-1.1%,-1.1%,3.4%,2.8%,1.7%,2.2%,3.7%,22.9%
15,2004,1.0%,1.2%,2.7%,-7.4%,1.9%,1.4%,-1.0%,3.7%,1.7%,2.7%,2.5%,1.8%,12.4%
16,2005,-1.7%,1.6%,-1.9%,1.1%,1.2%,2.7%,1.0%,1.0%,2.0%,-2.4%,3.2%,2.9%,11.0%
17,2006,3.9%,0.2%,-0.6%,-0.0%,-2.2%,0.5%,1.7%,2.5%,1.2%,2.3%,3.6%,-1.0%,12.6%
18,2007,1.3%,1.2%,-0.6%,1.8%,-0.7%,-1.5%,0.5%,1.9%,4.0%,3.8%,0.5%,0.1%,12.7%
19,2008,0.3%,-0.2%,-0.1%,-0.1%,-0.1%,-1.0%,-0.5%,-0.8%,-1.7%,-10.4%,8.5%,10.9%,3.5%
20,2009,-8.5%,-3.5%,3.7%,0.1%,3.7%,-1.5%,4.0%,1.9%,4.6%,-1.5%,5.4%,-2.5%,4.8%
21,2010,-1.1%,1.6%,2.5%,3.3%,-0.5%,1.5%,0.6%,3.7%,4.0%,1.6%,-0.5%,2.3%,20.6%
22,2011,-1.2%,3.5%,0.5%,4.8%,0.3%,-2.2%,3.3%,4.3%,-2.8%,4.9%,0.5%,-0.9%,15.4%
23,2012,4.8%,0.1%,-0.3%,1.4%,-1.5%,2.1%,1.9%,1.5%,0.4%,-1.5%,0.7%,0.4%,10.3%
24,2013,0.4%,-0.7%,1.1%,1.1%,-3.9%,-3.7%,2.2%,-0.9%,1.8%,2.5%,-1.5%,-0.4%,-2.2%
25,2014,1.4%,3.8%,-0.3%,1.2%,1.4%,2.2%,-0.8%,3.0%,-4.2%,1.9%,1.3%,1.3%,12.6%
26,2015,5.6%,-1.5%,-0.4%,-0.8%,-0.3%,-2.6%,0.0%,-2.3%,-0.8%,3.0%,-2.4%,-1.0%,-3.7%
27,2016,1.3%,3.9%,2.9%,0.8%,-0.4%,5.1%,3.3%,-1.4%,-0.2%,-3.3%,-4.5%,0.5%,7.8%
28,2017,2.8%,2.7%,0.3%,1.6%,1.2%,0.1%,1.5%,2.2%,-0.9%,0.6%,1.3%,1.2%,15.4%
29,2018,1.7%,-3.8%,1.3%,-1.0%,0.7%,,,,,,,,-1.2%
