,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,0.7%,0.4%,-0.7%,-4.5%,0.6%,0.5%,2.7%,-0.3%,2.1%,1.2%,5.0%,2.3%,10.2%
1,1971,2.9%,1.0%,4.0%,0.0%,-0.5%,-1.2%,-0.2%,4.0%,0.7%,-0.1%,0.4%,1.1%,12.5%
2,1972,1.2%,2.0%,0.1%,0.7%,4.5%,0.3%,0.9%,-0.6%,-0.8%,0.6%,1.1%,0.1%,10.4%
3,1973,-0.4%,1.2%,0.6%,0.4%,2.0%,4.0%,-2.7%,-1.4%,-0.2%,1.0%,-1.9%,-1.0%,1.5%
4,1974,1.7%,1.1%,-1.6%,1.0%,-0.5%,-0.9%,-1.2%,2.2%,0.0%,0.6%,3.4%,2.1%,8.0%
5,1975,-1.1%,2.1%,-1.2%,-1.1%,1.6%,2.3%,-3.0%,0.1%,-1.6%,3.2%,-0.1%,2.1%,3.0%
6,1976,3.3%,0.3%,1.8%,0.3%,-1.3%,2.2%,0.4%,1.5%,1.6%,0.6%,2.4%,3.1%,17.2%
7,1977,-3.6%,1.2%,2.1%,0.2%,0.1%,1.4%,-0.9%,1.5%,1.0%,0.7%,0.8%,-0.5%,3.9%
8,1978,0.2%,1.6%,0.2%,-2.2%,0.7%,-0.2%,4.5%,2.9%,0.1%,-1.8%,-4.3%,2.1%,3.4%
9,1979,2.2%,-0.7%,0.6%,-0.4%,2.7%,2.5%,1.3%,1.9%,1.9%,-6.5%,3.3%,4.4%,13.5%
10,1980,5.7%,0.5%,-3.8%,1.4%,2.5%,3.1%,0.5%,-0.6%,2.3%,0.1%,3.5%,-1.9%,13.8%
11,1981,-0.8%,1.5%,2.3%,-0.5%,1.0%,-0.2%,-0.9%,1.3%,1.2%,1.1%,5.6%,-2.7%,9.1%
12,1982,0.7%,1.3%,0.8%,2.1%,1.7%,-2.3%,4.7%,4.3%,2.3%,5.6%,1.4%,2.0%,27.1%
13,1983,1.3%,0.5%,0.5%,4.3%,-2.0%,1.3%,-3.6%,1.4%,0.9%,-0.9%,1.9%,-1.6%,3.7%
14,1984,1.8%,-1.2%,-1.7%,-0.7%,0.9%,0.8%,0.8%,1.5%,2.0%,3.0%,0.9%,0.7%,9.2%
15,1985,4.6%,-1.7%,1.5%,1.2%,7.0%,1.2%,-0.6%,1.1%,-1.2%,2.7%,3.3%,1.2%,21.8%
16,1986,2.5%,5.2%,4.4%,0.0%,-0.2%,2.4%,-0.3%,5.6%,-2.4%,-0.1%,0.8%,-1.9%,16.7%
17,1987,1.4%,1.3%,0.2%,-0.1%,0.4%,1.3%,2.5%,0.5%,-0.3%,-5.4%,2.7%,-0.6%,3.7%
18,1988,0.9%,-2.2%,-1.6%,-1.2%,-1.4%,3.2%,-0.7%,-0.9%,3.5%,2.4%,-1.8%,-0.1%,-0.2%
19,1989,3.9%,-1.7%,1.3%,3.4%,3.7%,2.0%,5.0%,-1.1%,0.0%,1.4%,3.9%,0.2%,24.1%
20,1990,-2.4%,-0.4%,-4.0%,-2.2%,0.6%,0.8%,0.7%,-4.3%,1.9%,0.0%,3.2%,1.2%,-5.0%
