,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1976,4.6%,1.3%,0.9%,-0.1%,-1.4%,2.1%,-0.2%,1.0%,1.5%,-0.2%,2.0%,4.9%,17.5%
1,1977,-0.6%,0.3%,1.5%,1.6%,-0.2%,2.2%,-0.2%,1.2%,2.0%,1.0%,1.1%,2.5%,13.2%
2,1978,0.6%,2.1%,3.3%,0.8%,1.9%,0.0%,5.0%,3.0%,1.2%,0.0%,-4.8%,2.1%,16.1%
3,1979,2.7%,1.0%,1.8%,1.2%,0.4%,2.9%,1.4%,4.3%,4.4%,-5.6%,4.7%,4.6%,26.2%
4,1980,6.7%,-1.1%,-9.8%,5.5%,5.5%,6.1%,-0.1%,1.3%,1.4%,1.1%,1.6%,-2.2%,15.5%
5,1981,-1.8%,-0.5%,2.5%,-0.7%,0.2%,-0.2%,-3.0%,-1.2%,-2.0%,3.1%,5.9%,-2.9%,-0.9%
6,1982,-0.9%,-0.8%,0.3%,3.7%,0.3%,-3.2%,2.9%,5.5%,2.5%,6.4%,3.4%,2.9%,25.0%
7,1983,1.6%,0.3%,2.8%,5.3%,-1.1%,1.2%,-2.6%,-0.3%,1.5%,-0.1%,1.7%,1.7%,12.3%
8,1984,3.4%,-0.4%,1.4%,-0.2%,-3.3%,-0.9%,-0.9%,3.7%,2.1%,2.9%,1.2%,1.4%,10.7%
9,1985,2.2%,-1.4%,2.5%,1.3%,5.3%,1.8%,0.8%,1.6%,2.4%,4.2%,3.4%,2.7%,30.2%
10,1986,0.9%,8.3%,7.0%,2.7%,-1.0%,3.7%,-1.2%,4.2%,-2.8%,-0.6%,1.4%,0.5%,24.9%
11,1987,3.9%,0.8%,2.3%,1.5%,1.2%,3.5%,2.7%,2.8%,-3.7%,-6.2%,0.8%,1.5%,10.9%
12,1988,1.4%,2.0%,2.8%,1.1%,-0.1%,0.6%,0.2%,-1.9%,1.9%,2.0%,0.2%,1.6%,12.4%
13,1989,1.9%,0.8%,2.3%,4.8%,0.8%,0.9%,3.7%,-1.0%,2.6%,-0.0%,0.8%,3.2%,22.5%
14,1990,-2.7%,-0.8%,-3.6%,-0.3%,3.1%,1.3%,2.7%,-5.0%,0.0%,0.7%,1.0%,1.2%,-2.9%
15,1991,0.5%,2.7%,-1.1%,1.1%,2.0%,-2.4%,3.1%,1.6%,1.5%,0.9%,-1.1%,6.5%,16.1%
16,1992,0.7%,0.2%,-1.1%,0.6%,2.3%,-1.0%,2.6%,1.0%,0.7%,-1.8%,0.3%,1.7%,6.3%
17,1993,2.6%,2.8%,3.1%,1.4%,1.0%,0.9%,1.9%,3.0%,1.1%,1.7%,-3.0%,3.3%,21.5%
18,1994,2.3%,-2.0%,-3.5%,1.5%,0.0%,-0.4%,1.2%,1.6%,-0.6%,0.5%,-2.5%,-0.3%,-2.4%
19,1995,0.7%,2.0%,2.9%,2.3%,3.6%,0.8%,0.9%,-0.7%,2.4%,0.4%,2.2%,2.6%,21.8%
20,1996,0.6%,-1.4%,1.4%,1.6%,-0.0%,1.1%,-2.0%,1.9%,2.6%,1.5%,3.5%,0.5%,11.7%
21,1997,-0.3%,0.1%,-1.7%,0.7%,2.7%,3.2%,3.3%,-4.6%,4.2%,-1.4%,0.5%,1.2%,7.8%
22,1998,0.8%,2.0%,2.3%,0.3%,-0.2%,1.1%,-0.2%,-4.7%,3.9%,1.2%,1.7%,1.9%,10.3%
23,1999,0.5%,-3.3%,2.4%,4.6%,-2.7%,2.6%,-0.0%,0.2%,0.4%,0.8%,0.9%,4.3%,11.0%
24,2000,-1.5%,1.1%,2.4%,-3.5%,0.0%,3.3%,-0.8%,2.1%,-0.6%,-1.4%,0.3%,2.4%,3.5%
25,2001,1.1%,-0.5%,-1.7%,1.0%,0.4%,0.3%,1.1%,1.1%,-1.9%,1.3%,-0.8%,-0.4%,0.9%
26,2002,0.3%,1.6%,1.9%,0.8%,1.2%,-0.6%,-2.1%,3.2%,-0.3%,-0.7%,0.9%,3.5%,9.8%
27,2003,1.5%,0.8%,-2.0%,2.5%,5.6%,-0.9%,-0.2%,2.8%,2.1%,3.6%,2.2%,5.1%,25.2%
28,2004,1.8%,2.6%,1.5%,-5.2%,1.4%,1.5%,-0.6%,2.4%,2.7%,3.2%,3.7%,2.1%,18.2%
29,2005,-1.1%,3.6%,-1.6%,-1.2%,1.3%,3.0%,2.7%,1.4%,1.8%,-3.6%,3.1%,2.7%,12.6%
30,2006,6.1%,-0.9%,1.8%,3.2%,-3.0%,0.0%,2.1%,1.1%,0.1%,2.3%,3.4%,0.7%,18.0%
31,2007,1.6%,-0.0%,0.7%,2.4%,0.9%,-1.4%,-0.5%,0.8%,4.1%,5.0%,-2.5%,1.0%,12.3%
32,2008,0.4%,2.2%,-0.1%,0.5%,0.9%,-0.7%,-1.7%,-2.4%,-4.5%,-9.2%,1.3%,5.8%,-8.1%
33,2009,-5.8%,-3.8%,2.6%,1.6%,5.8%,-0.6%,5.6%,2.0%,4.1%,-1.5%,5.3%,-0.2%,15.2%
