,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1991,0.9%,7.6%,2.1%,-0.7%,3.8%,-5.2%,5.2%,2.9%,-2.0%,1.2%,-6.2%,0.2%,9.4%
1,1992,-3.3%,1.3%,-1.8%,2.4%,0.4%,-0.8%,2.6%,-2.5%,1.7%,-0.4%,5.4%,2.8%,7.7%
2,1993,2.3%,0.4%,3.4%,-2.1%,0.4%,-1.0%,-0.8%,3.7%,0.2%,-1.0%,0.1%,2.7%,8.5%
3,1994,3.6%,-0.3%,-4.2%,0.3%,0.3%,0.4%,0.2%,8.7%,0.2%,2.0%,-1.5%,0.4%,9.9%
4,1995,2.6%,3.8%,3.7%,4.1%,3.2%,5.3%,4.2%,0.2%,4.4%,0.1%,3.5%,2.7%,45.0%
5,1996,4.1%,0.8%,1.5%,0.1%,1.8%,1.0%,-4.4%,2.6%,4.8%,1.7%,6.2%,-1.5%,19.9%
6,1997,7.5%,-3.5%,-6.4%,4.3%,6.9%,3.6%,10.6%,-4.4%,5.9%,-4.4%,1.1%,5.8%,28.4%
7,1998,-0.5%,5.7%,4.8%,1.9%,-1.1%,4.3%,-1.0%,-17.3%,0.4%,0.2%,6.5%,8.2%,10.0%
8,1999,8.6%,-3.5%,5.0%,2.1%,-3.6%,6.6%,-4.2%,1.8%,-1.9%,0.3%,1.8%,8.5%,22.3%
9,2000,-10.4%,-0.1%,9.9%,-4.0%,-4.6%,-0.2%,-4.3%,10.4%,-4.8%,0.5%,0.5%,0.5%,-8.2%
10,2001,0.4%,0.4%,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%,0.2%,0.2%,0.2%,0.1%,3.4%
11,2002,0.1%,0.1%,0.0%,-2.8%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,-1.5%
12,2003,0.1%,0.1%,0.1%,-0.0%,6.3%,1.2%,-0.6%,4.2%,-3.5%,4.8%,1.5%,5.6%,21.0%
13,2004,0.2%,0.5%,-1.4%,-2.6%,0.5%,5.8%,-0.7%,0.8%,0.0%,1.5%,6.4%,0.3%,11.6%
14,2005,0.8%,8.9%,-1.2%,-3.2%,1.3%,3.4%,3.8%,1.2%,3.3%,-6.0%,2.0%,-0.5%,13.8%
15,2006,6.8%,-3.1%,-0.2%,3.6%,-2.8%,1.0%,-2.2%,-0.5%,-0.6%,3.0%,2.7%,-0.6%,6.8%
16,2007,1.1%,1.7%,1.8%,3.8%,2.6%,-1.4%,-1.0%,0.1%,5.2%,1.7%,-5.7%,2.3%,12.4%
17,2008,0.2%,0.2%,0.1%,0.1%,0.1%,0.2%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,1.3%
18,2009,0.0%,0.0%,0.0%,0.0%,0.0%,-0.1%,7.8%,2.4%,3.9%,-4.2%,5.5%,1.7%,17.9%
19,2010,-6.8%,4.8%,8.5%,3.9%,-8.5%,-7.4%,-0.1%,-4.7%,-0.1%,3.0%,0.5%,6.9%,-1.9%
20,2011,2.1%,4.0%,2.0%,1.9%,-3.3%,-1.3%,-1.2%,-6.0%,0.0%,0.0%,0.0%,0.0%,-2.1%
21,2012,-0.1%,3.0%,4.0%,-0.8%,-4.4%,3.1%,0.6%,-1.3%,2.7%,-2.0%,0.9%,1.5%,7.2%
22,2013,5.8%,1.4%,4.8%,2.9%,3.5%,-0.4%,5.9%,-3.8%,3.7%,4.6%,3.9%,2.4%,40.1%
23,2014,-3.2%,4.8%,-1.1%,0.4%,2.1%,1.1%,-3.4%,3.4%,-2.7%,1.4%,3.1%,-1.6%,4.1%
24,2015,0.9%,0.5%,-1.2%,-0.7%,2.6%,-1.4%,3.7%,-6.9%,0.0%,-0.1%,-0.2%,-2.5%,-5.5%
25,2016,-2.9%,0.0%,-0.1%,-3.1%,0.1%,3.8%,-1.0%,-1.6%,0.3%,-2.0%,2.8%,1.9%,-2.0%
26,2017,-0.4%,3.2%,-0.5%,1.0%,1.4%,-1.5%,2.2%,0.4%,-0.5%,3.3%,1.9%,1.4%,12.5%
27,2018,5.8%,-2.3%,-3.4%,0.6%,4.3%,,,,,,,,4.7%
