,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,-7.7%,3.8%,-0.1%,-1.1%,-4.2%,-0.6%,5.9%,-1.5%,3.7%,-0.9%,4.8%,4.3%,5.7%
1,1971,4.3%,1.1%,4.0%,3.9%,-3.9%,-0.7%,-3.1%,2.0%,3.5%,2.3%,1.3%,-1.6%,13.4%
2,1972,2.1%,2.8%,0.8%,0.7%,2.0%,-2.1%,0.5%,1.5%,-1.2%,1.2%,4.8%,1.4%,15.0%
3,1973,-1.5%,-3.6%,0.1%,-4.1%,-1.1%,-0.3%,-2.4%,-3.4%,4.2%,-0.1%,-0.9%,0.7%,-11.7%
4,1974,-1.5%,0.5%,-2.0%,-3.8%,-0.8%,1.1%,-1.1%,-2.9%,0.8%,3.1%,5.1%,1.4%,-0.5%
5,1975,1.0%,2.4%,2.5%,5.1%,4.8%,4.8%,-6.6%,-2.9%,-0.1%,2.9%,2.8%,-0.8%,16.3%
6,1976,12.2%,-0.9%,3.4%,-1.0%,-2.6%,4.4%,-0.5%,-0.4%,2.1%,1.6%,1.3%,4.7%,26.3%
7,1977,-1.5%,-3.1%,0.8%,0.5%,1.3%,2.5%,-1.0%,2.0%,-0.3%,-1.1%,0.6%,-1.8%,-1.2%
8,1978,-5.9%,-0.1%,-0.2%,-0.2%,0.9%,-1.3%,5.8%,3.0%,-0.4%,-8.9%,1.5%,-0.9%,-7.4%
9,1979,1.7%,-3.3%,6.0%,0.6%,-2.2%,4.1%,-0.9%,-0.5%,0.4%,-6.4%,4.7%,2.1%,5.7%
10,1980,6.0%,0.4%,-9.8%,4.1%,5.6%,4.4%,-6.5%,1.3%,2.7%,2.0%,11.0%,-5.9%,14.1%
11,1981,-4.6%,-4.2%,3.3%,-2.2%,0.4%,-0.7%,-3.5%,-4.5%,-5.2%,6.9%,12.1%,-4.2%,-7.6%
