,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,0.6%,5.4%,0.6%,0.6%,0.6%,0.6%,0.6%,0.5%,0.4%,-0.9%,5.0%,6.0%,21.5%
1,1971,4.3%,1.1%,4.0%,3.9%,-3.9%,-0.7%,-2.9%,3.9%,-0.4%,-3.9%,0.0%,8.9%,14.2%
2,1972,2.1%,2.8%,0.8%,0.7%,2.0%,-1.9%,0.5%,3.7%,-0.3%,1.2%,4.8%,1.4%,18.8%
3,1973,-1.5%,-3.6%,0.1%,-3.9%,-1.6%,-0.4%,4.1%,-3.4%,4.2%,0.1%,-11.1%,1.9%,-14.9%
4,1974,-0.8%,0.5%,0.7%,0.7%,0.7%,0.6%,0.7%,0.8%,0.5%,16.7%,0.6%,0.6%,23.5%
5,1975,0.4%,6.3%,2.5%,5.1%,4.8%,4.8%,-6.4%,-1.8%,-3.1%,6.6%,2.8%,-0.8%,22.2%
6,1976,12.2%,-0.9%,3.4%,-0.8%,-1.2%,4.4%,-0.5%,-0.2%,2.6%,-1.9%,-0.5%,5.6%,23.6%
7,1977,-4.7%,-1.9%,-1.0%,0.4%,-2.0%,4.9%,-1.3%,-1.7%,0.1%,-4.0%,3.1%,0.7%,-7.5%
8,1978,-5.7%,-2.1%,3.0%,9.0%,0.9%,-1.3%,5.8%,3.0%,-0.4%,-8.8%,2.1%,1.9%,6.3%
9,1979,4.4%,-3.3%,6.0%,0.6%,-2.2%,4.3%,1.3%,5.8%,0.4%,-6.4%,4.7%,2.1%,18.2%
10,1980,6.0%,0.4%,-9.9%,1.0%,5.5%,2.8%,6.6%,1.3%,2.7%,2.0%,11.0%,-5.9%,24.0%
11,1981,-4.4%,2.1%,3.7%,-2.2%,0.6%,-0.9%,0.0%,-5.5%,1.2%,1.2%,0.8%,-6.3%,-9.7%
12,1982,1.0%,1.0%,1.2%,1.1%,1.0%,1.1%,0.9%,0.7%,1.0%,11.1%,4.2%,0.3%,26.9%
13,1983,3.4%,2.5%,3.5%,7.6%,-0.9%,3.7%,-3.2%,1.8%,1.2%,-1.4%,2.3%,-4.1%,17.1%
14,1984,-0.5%,-3.3%,1.6%,0.7%,-5.4%,2.2%,-1.5%,11.2%,-0.0%,0.3%,-1.0%,0.1%,3.7%
15,1985,7.6%,1.4%,0.0%,-0.3%,6.0%,1.4%,-0.2%,-0.7%,-3.1%,4.4%,6.9%,-2.2%,22.6%
16,1986,0.4%,7.6%,5.5%,-1.3%,5.5%,1.7%,-5.7%,7.5%,-8.3%,5.6%,2.6%,-9.9%,9.3%
17,1987,13.3%,4.0%,2.8%,-1.0%,1.0%,5.0%,4.9%,3.8%,-2.3%,-21.8%,0.4%,7.5%,14.3%
18,1988,4.1%,0.3%,-3.0%,1.0%,0.8%,4.6%,-0.4%,-3.4%,4.3%,2.7%,-1.5%,-0.8%,8.7%
19,1989,7.3%,-2.5%,2.3%,5.2%,4.0%,-0.6%,9.0%,1.9%,-0.4%,-2.3%,2.0%,2.4%,31.4%
20,1990,-6.8%,0.6%,0.6%,-2.5%,9.7%,-0.7%,-0.4%,-9.1%,0.6%,0.7%,0.6%,0.4%,-7.2%
21,1991,4.4%,7.1%,2.4%,0.2%,4.3%,-4.6%,4.6%,2.3%,-1.7%,1.3%,-4.1%,0.2%,17.0%
22,1992,-1.9%,1.2%,-1.9%,2.9%,0.5%,-1.5%,4.0%,-2.1%,1.2%,0.3%,3.4%,1.9%,8.2%
23,1993,0.1%,1.1%,2.2%,-2.6%,2.7%,0.4%,-0.5%,3.8%,-0.7%,2.0%,-1.1%,1.2%,8.8%
24,1994,3.5%,-2.9%,-4.2%,1.1%,1.6%,-2.3%,3.2%,3.8%,-2.5%,2.8%,-4.0%,0.7%,0.4%
25,1995,3.4%,4.1%,2.8%,3.0%,4.0%,2.0%,3.2%,0.4%,4.2%,-0.3%,4.4%,1.6%,38.0%
26,1996,3.6%,0.3%,1.7%,1.1%,2.3%,0.9%,-4.5%,1.9%,5.6%,3.2%,7.3%,-2.4%,22.5%
27,1997,6.2%,1.0%,-4.4%,6.3%,6.3%,4.1%,7.9%,-5.2%,4.8%,-2.5%,3.9%,1.9%,33.5%
28,1998,1.3%,6.9%,4.9%,1.3%,-2.1%,4.3%,-1.4%,-14.1%,6.4%,8.1%,5.6%,6.5%,28.7%
29,1999,3.5%,-3.2%,4.1%,3.8%,-2.3%,5.5%,-3.1%,-0.5%,-2.2%,6.4%,1.7%,5.7%,20.4%
