,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1971,3.8%,0.8%,3.3%,1.5%,4.3%,13.9%,-3.8%,-4.5%,0.2%,-2.8%,-3.2%,7.8%,21.6%
1,1972,6.5%,8.0%,4.3%,2.6%,5.0%,1.7%,7.1%,1.7%,2.6%,2.7%,11.3%,6.7%,78.9%
2,1973,3.8%,11.8%,-1.3%,-6.0%,1.1%,0.8%,0.3%,-1.6%,1.7%,2.1%,-1.8%,-1.0%,9.3%
3,1974,0.2%,0.5%,-2.6%,-1.1%,1.6%,-0.2%,-1.0%,-0.8%,1.8%,1.7%,1.6%,2.3%,4.0%
4,1975,-0.3%,2.6%,0.6%,1.5%,1.2%,2.7%,-4.6%,-1.5%,-2.3%,1.7%,0.9%,1.0%,3.4%
5,1976,4.8%,-0.8%,1.3%,-1.7%,-1.6%,3.4%,-1.6%,1.8%,0.9%,-1.2%,3.2%,1.9%,10.4%
6,1977,-3.3%,1.6%,-0.4%,1.0%,0.0%,2.9%,0.1%,1.9%,2.1%,0.6%,0.6%,1.7%,9.1%
7,1978,1.1%,2.3%,1.6%,0.7%,1.6%,4.4%,3.7%,1.3%,-0.0%,3.0%,-3.2%,0.5%,18.3%
8,1979,1.4%,-2.3%,0.6%,0.1%,0.3%,1.2%,1.2%,1.3%,0.2%,-4.6%,3.1%,1.8%,4.0%
9,1980,0.1%,-2.0%,0.1%,11.2%,4.5%,4.5%,1.8%,0.5%,-0.3%,1.9%,-0.2%,-2.3%,20.7%
10,1981,-0.8%,-2.3%,4.0%,0.6%,0.7%,-0.6%,-3.2%,-0.7%,-2.1%,7.6%,9.3%,-3.3%,8.5%
11,1982,0.3%,1.6%,0.5%,2.8%,1.9%,-2.5%,5.2%,6.0%,6.4%,6.5%,1.1%,3.0%,37.6%
12,1983,-0.1%,3.9%,1.4%,6.6%,1.1%,2.2%,-4.1%,-2.1%,3.0%,-2.1%,1.3%,5.6%,17.4%
13,1984,5.1%,-1.4%,4.7%,-0.9%,-6.7%,-0.4%,6.3%,1.7%,1.1%,5.0%,2.0%,1.1%,18.2%
14,1985,1.7%,-2.3%,1.7%,1.2%,7.7%,1.1%,-0.9%,3.3%,7.1%,5.2%,2.0%,0.7%,32.0%
15,1986,2.4%,11.3%,16.3%,4.3%,-1.6%,4.3%,8.3%,8.3%,1.1%,-8.5%,5.3%,4.7%,69.7%
16,1987,8.8%,2.7%,8.6%,9.6%,-0.5%,-3.7%,1.3%,9.6%,-16.5%,-7.6%,0.5%,1.7%,11.7%
17,1988,4.7%,4.4%,5.2%,1.4%,-0.6%,3.0%,-2.6%,-3.4%,2.8%,1.2%,3.4%,0.9%,22.0%
18,1989,0.6%,0.1%,4.5%,16.3%,2.0%,-6.1%,4.1%,0.9%,4.0%,0.7%,-1.5%,5.8%,34.6%
19,1990,1.4%,0.6%,-2.1%,-1.9%,4.2%,1.9%,3.9%,-8.5%,0.9%,1.9%,3.3%,1.8%,7.1%
20,1991,0.9%,3.4%,5.1%,-0.1%,6.0%,-5.1%,3.2%,3.6%,1.3%,1.7%,-1.3%,5.1%,26.0%
21,1992,4.5%,2.7%,0.9%,-0.4%,1.0%,-5.0%,3.0%,1.0%,2.0%,-2.5%,2.0%,2.2%,11.7%
