,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1970,-1.8%,2.4%,0.3%,-1.9%,-2.0%,-1.4%,3.2%,0.9%,2.3%,1.0%,2.3%,2.7%,8.0%
1,1971,1.9%,1.2%,2.0%,1.1%,-1.0%,-0.4%,0.0%,2.7%,0.4%,-0.0%,0.6%,2.2%,11.1%
2,1972,2.0%,2.1%,0.4%,0.4%,4.0%,3.8%,2.1%,1.9%,-1.0%,0.3%,1.0%,0.5%,19.0%
3,1973,-2.3%,2.7%,4.2%,1.8%,3.8%,6.4%,0.5%,-5.5%,0.6%,-0.5%,-4.2%,5.0%,12.2%
4,1974,4.9%,5.0%,3.0%,-0.4%,-2.5%,-1.8%,-4.0%,0.4%,-2.4%,5.3%,5.3%,0.6%,13.4%
5,1975,2.5%,3.3%,-0.3%,-0.6%,2.1%,2.1%,-2.1%,-2.0%,-3.3%,3.1%,0.7%,0.4%,5.9%
6,1976,1.8%,0.7%,0.9%,0.1%,-1.3%,1.5%,-1.7%,-1.0%,3.5%,1.2%,1.5%,3.6%,11.1%
7,1977,-1.9%,0.8%,1.2%,-0.0%,-0.8%,1.9%,-0.3%,0.6%,1.5%,0.3%,0.7%,0.7%,4.8%
8,1978,0.1%,0.6%,0.7%,0.6%,2.2%,-0.5%,4.4%,2.5%,1.0%,1.0%,-5.6%,5.0%,12.1%
9,1979,2.6%,0.8%,0.8%,0.6%,3.2%,2.3%,2.2%,3.4%,7.8%,-4.3%,4.7%,9.2%,38.1%
10,1980,6.7%,-2.2%,-8.7%,5.6%,3.8%,7.4%,-1.5%,0.6%,1.9%,-1.5%,2.9%,-2.0%,12.5%
11,1981,-4.7%,-1.0%,3.3%,-3.2%,1.7%,-2.4%,-1.4%,-1.3%,-1.1%,3.2%,3.8%,-3.2%,-6.5%
12,1982,-1.0%,-2.1%,-2.1%,4.9%,-2.4%,-1.3%,2.7%,9.7%,1.4%,6.5%,2.9%,2.3%,22.9%
13,1983,2.3%,-2.9%,1.3%,3.9%,-0.7%,0.2%,-1.8%,0.2%,1.3%,-1.9%,2.5%,-2.3%,2.0%
14,1984,-0.1%,0.2%,-0.3%,-0.9%,-2.0%,0.6%,-0.5%,4.3%,0.6%,1.3%,0.0%,-0.7%,2.6%
15,1985,2.8%,-2.2%,4.3%,0.0%,3.4%,1.3%,0.5%,1.1%,-1.2%,2.1%,3.3%,1.5%,18.1%
