,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,-1.7%,2.1%,3.0%,0.9%,4.8%,7.1%,-1.4%,-3.3%,-0.2%,0.2%,-2.8%,0.5%,9.0%
1,1974,2.0%,2.2%,0.4%,-0.2%,-0.3%,-0.3%,-1.4%,-0.0%,-0.6%,3.1%,2.2%,0.6%,8.0%
2,1975,0.8%,4.1%,-0.3%,0.9%,1.2%,2.3%,-2.6%,-1.5%,-1.8%,1.7%,0.3%,0.6%,5.3%
3,1976,2.6%,-0.0%,1.2%,-0.4%,-1.4%,2.1%,-1.3%,1.3%,1.6%,-0.6%,1.8%,2.8%,9.9%
4,1977,-2.7%,1.0%,0.6%,0.6%,-0.2%,2.0%,0.0%,1.1%,1.5%,0.6%,0.4%,1.7%,6.6%
5,1978,0.7%,2.1%,2.3%,0.2%,2.8%,1.5%,4.8%,2.3%,1.2%,1.2%,-3.9%,2.6%,18.9%
6,1979,2.0%,-0.9%,1.4%,0.6%,0.3%,2.2%,1.2%,3.5%,4.7%,-5.0%,3.1%,4.4%,18.2%
7,1980,5.8%,-0.4%,-6.4%,3.6%,3.7%,7.2%,0.6%,2.1%,1.2%,0.7%,1.2%,-1.2%,19.1%
8,1981,-1.7%,0.6%,2.0%,0.4%,0.8%,0.3%,-0.3%,-0.1%,-0.0%,2.5%,2.6%,-2.1%,4.9%
9,1982,0.6%,0.8%,0.8%,2.3%,1.3%,-0.4%,2.0%,4.7%,4.5%,6.9%,1.4%,1.9%,29.9%
10,1983,0.7%,0.9%,1.7%,5.7%,-1.0%,1.5%,-2.8%,0.2%,1.9%,-0.5%,1.9%,3.0%,13.9%
11,1984,2.8%,-0.7%,1.5%,-0.1%,-2.4%,0.9%,2.6%,1.7%,1.7%,3.9%,1.6%,1.6%,16.0%
12,1985,1.5%,-1.3%,1.8%,1.3%,6.3%,1.4%,0.4%,1.6%,4.3%,3.9%,2.1%,2.6%,28.8%
13,1986,1.1%,8.9%,10.8%,3.3%,-1.7%,4.0%,2.9%,5.8%,0.0%,-2.4%,1.9%,1.2%,41.3%
14,1987,4.6%,1.6%,5.1%,6.2%,-0.1%,-0.9%,2.6%,5.6%,-4.1%,-6.6%,0.3%,1.2%,15.7%
15,1988,2.2%,1.3%,1.8%,0.3%,0.2%,1.2%,-0.9%,-2.5%,1.8%,1.0%,2.8%,1.3%,10.8%
16,1989,1.5%,-0.2%,3.2%,7.9%,2.1%,0.2%,4.0%,0.8%,1.7%,-0.1%,0.6%,2.9%,27.2%
17,1990,-1.9%,-0.1%,-0.2%,-0.6%,2.7%,0.6%,2.4%,-4.3%,0.5%,0.6%,1.2%,1.1%,1.7%
18,1991,0.9%,1.8%,1.7%,0.8%,3.3%,-2.9%,1.7%,1.9%,1.5%,0.9%,-1.1%,5.7%,17.2%
19,1992,1.7%,1.0%,-0.6%,0.6%,1.6%,-2.4%,3.3%,0.3%,1.8%,-1.5%,0.9%,1.9%,8.9%
20,1993,2.2%,2.7%,1.9%,1.0%,0.6%,0.6%,2.3%,4.5%,0.8%,3.2%,-1.8%,3.7%,23.6%
21,1994,1.1%,-1.1%,-3.5%,0.6%,0.2%,-0.1%,0.9%,2.5%,-0.3%,0.1%,-1.5%,-0.1%,-1.3%
22,1995,0.9%,1.6%,1.3%,2.2%,4.0%,0.9%,0.7%,0.8%,1.9%,0.7%,2.2%,1.8%,20.8%
23,1996,1.6%,-0.6%,1.1%,2.3%,0.9%,0.4%,-2.7%,1.4%,2.6%,2.0%,4.5%,0.3%,14.7%
24,1997,1.1%,-0.2%,-1.8%,1.4%,2.7%,3.3%,4.6%,-2.9%,3.4%,-0.4%,1.5%,1.5%,14.6%
25,1998,1.2%,1.6%,2.0%,0.1%,-0.3%,1.9%,-1.1%,-1.7%,4.1%,0.9%,0.6%,1.7%,11.2%
26,1999,1.6%,-3.6%,2.1%,1.6%,-1.7%,2.1%,-0.7%,0.1%,-0.1%,1.9%,1.6%,5.2%,10.3%
27,2000,-2.2%,2.4%,2.2%,-3.4%,-0.9%,2.2%,-0.8%,2.8%,-0.7%,-0.4%,1.7%,1.9%,4.7%
28,2001,0.8%,0.2%,0.5%,-0.5%,0.3%,1.0%,1.5%,1.2%,0.9%,1.2%,-1.4%,-0.6%,5.1%
29,2002,0.3%,0.7%,-0.9%,0.2%,0.9%,0.3%,0.5%,1.8%,1.5%,-0.9%,-0.7%,1.5%,5.2%
30,2003,-0.4%,1.3%,-0.3%,0.7%,4.5%,0.0%,-1.1%,1.4%,2.3%,3.0%,1.4%,5.4%,19.7%
31,2004,1.7%,1.8%,1.7%,-6.4%,1.6%,1.5%,-0.8%,2.9%,2.3%,3.1%,4.0%,2.2%,16.3%
32,2005,-1.7%,3.7%,-1.9%,-0.4%,1.0%,1.8%,3.2%,1.2%,2.5%,-2.5%,2.1%,2.2%,11.7%
33,2006,6.9%,-0.9%,2.9%,2.4%,-1.8%,0.4%,1.4%,1.5%,0.0%,2.7%,3.0%,1.1%,21.3%
34,2007,1.9%,-1.0%,0.9%,2.5%,1.8%,-1.8%,-0.7%,0.6%,5.2%,4.9%,-2.4%,0.2%,12.6%
35,2008,0.3%,1.5%,0.7%,-0.8%,0.4%,0.4%,-0.5%,0.3%,-1.7%,-1.5%,4.0%,3.1%,6.2%
36,2009,-2.9%,-1.2%,2.0%,-1.9%,1.7%,-1.3%,3.5%,1.9%,3.3%,-2.0%,6.0%,0.1%,9.2%
37,2010,-3.3%,2.3%,4.5%,1.7%,-5.1%,0.0%,1.6%,0.8%,1.3%,2.8%,-1.4%,4.0%,9.2%
38,2011,1.1%,3.3%,0.1%,3.7%,-0.9%,-2.1%,0.8%,0.2%,-3.7%,1.9%,-0.2%,0.4%,4.5%
39,2012,1.7%,0.9%,1.3%,0.9%,-0.2%,0.9%,2.0%,0.2%,0.0%,-1.0%,0.4%,0.5%,7.8%
40,2013,1.6%,-0.1%,1.3%,3.3%,-2.7%,-1.6%,1.6%,-2.3%,1.4%,2.4%,1.0%,1.6%,7.5%
41,2014,-2.1%,2.8%,0.6%,1.3%,1.7%,0.6%,-0.9%,3.2%,-2.2%,2.8%,2.4%,0.7%,11.2%
42,2015,2.2%,-0.1%,-0.2%,-1.2%,-0.0%,-2.7%,2.1%,-4.2%,0.1%,0.6%,-0.1%,-0.8%,-4.3%
43,2016,-1.0%,1.2%,0.7%,0.5%,0.1%,2.9%,2.2%,-1.1%,-0.2%,-2.5%,-2.2%,0.7%,1.2%
44,2017,1.3%,2.2%,-0.0%,1.3%,1.4%,0.2%,1.2%,1.0%,-0.0%,1.3%,1.2%,1.1%,12.9%
45,2018,4.2%,-2.6%,-0.5%,0.1%,1.3%,,,,,,,,2.3%
