,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1973,1.2%,3.9%,0.6%,0.0%,0.2%,1.0%,-2.8%,1.9%,3.0%,1.9%,-0.2%,-1.0%,10.1%
1,1974,-0.1%,0.4%,-2.2%,-1.1%,1.6%,-0.2%,-1.0%,-0.8%,1.8%,1.7%,1.6%,2.3%,4.0%
2,1975,-0.3%,0.9%,-2.1%,1.1%,2.4%,1.8%,-2.5%,-1.8%,-3.6%,2.9%,-0.1%,2.2%,0.8%
3,1976,4.0%,1.9%,1.3%,-0.3%,-1.8%,2.8%,0.1%,1.5%,1.5%,0.3%,2.9%,2.8%,18.2%
4,1977,-1.4%,1.4%,0.9%,0.7%,-0.4%,2.9%,-0.2%,1.6%,1.7%,0.5%,1.7%,2.1%,12.1%
5,1978,0.9%,2.1%,3.8%,0.5%,2.3%,0.1%,3.4%,3.7%,1.2%,-1.8%,-0.1%,2.5%,19.9%
6,1979,2.3%,1.7%,2.1%,1.8%,0.8%,2.9%,1.8%,5.7%,3.7%,-6.5%,4.0%,3.1%,25.5%
7,1980,0.9%,-5.4%,-3.4%,12.3%,3.9%,7.3%,1.4%,3.8%,1.0%,0.5%,0.4%,-1.6%,21.8%
8,1981,-0.4%,-1.4%,2.9%,-2.1%,3.7%,-0.6%,-2.9%,-2.5%,-0.9%,7.6%,9.3%,-3.3%,8.9%
9,1982,0.3%,1.6%,0.5%,2.8%,1.9%,-2.5%,5.2%,5.9%,5.3%,7.3%,2.2%,1.8%,37.1%
10,1983,3.0%,0.3%,1.1%,5.8%,1.7%,2.3%,-2.3%,-1.4%,2.3%,-1.7%,1.8%,1.4%,15.0%
11,1984,3.3%,-0.6%,-0.7%,-0.6%,-4.6%,1.5%,6.3%,1.7%,2.5%,4.5%,1.9%,1.1%,17.1%
12,1985,2.9%,-1.4%,1.1%,0.5%,6.7%,1.6%,0.6%,2.0%,2.8%,4.4%,3.2%,1.9%,29.6%
13,1986,1.0%,9.6%,8.6%,3.2%,-1.1%,3.8%,-2.1%,5.2%,-1.3%,-1.0%,1.7%,-0.4%,29.7%
