,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1988,3.1%,1.4%,-0.8%,0.2%,0.3%,0.7%,0.4%,-0.2%,1.3%,0.9%,-1.0%,1.0%,7.5%
1,1989,1.8%,-0.5%,1.3%,2.8%,1.9%,1.9%,2.9%,-0.1%,0.2%,0.1%,0.7%,1.3%,15.2%
2,1990,-1.9%,0.4%,-0.2%,-0.8%,0.6%,1.0%,0.8%,-2.2%,1.6%,0.0%,1.0%,1.4%,1.6%
3,1991,0.1%,1.8%,1.9%,1.3%,1.3%,-0.9%,1.5%,1.9%,1.1%,1.0%,-1.4%,3.0%,13.2%
4,1992,-0.3%,0.5%,-0.7%,0.6%,2.0%,0.3%,2.3%,0.0%,1.3%,-0.9%,1.3%,1.4%,8.2%
5,1993,2.1%,2.5%,2.2%,-1.0%,-0.1%,1.5%,0.6%,2.5%,0.6%,0.4%,-1.8%,0.7%,10.6%
6,1994,2.0%,-1.5%,-2.8%,0.6%,0.9%,-0.5%,0.2%,-0.6%,-0.1%,0.5%,-0.1%,0.3%,-1.2%
7,1995,1.3%,2.0%,1.8%,2.3%,3.8%,0.5%,1.3%,1.1%,2.0%,0.0%,2.0%,3.3%,23.6%
8,1996,0.2%,0.2%,1.3%,1.6%,1.7%,1.2%,-1.7%,3.3%,2.7%,2.5%,3.8%,1.1%,19.2%
9,1997,0.9%,-0.6%,-1.5%,-0.7%,2.0%,2.1%,3.4%,-1.3%,3.6%,-0.7%,0.9%,1.2%,9.5%
10,1998,0.7%,0.4%,1.5%,0.0%,0.4%,1.0%,-0.1%,-1.1%,1.4%,-0.6%,0.9%,1.4%,6.1%
11,1999,1.2%,-2.2%,0.9%,0.3%,-2.8%,1.7%,-0.7%,0.7%,0.9%,-0.1%,0.8%,3.0%,3.7%
12,2000,0.6%,1.0%,0.3%,-1.3%,0.1%,2.8%,0.7%,0.9%,0.5%,-1.0%,0.7%,2.1%,7.5%
13,2001,2.3%,-0.5%,0.7%,0.5%,1.4%,2.9%,0.9%,1.7%,-0.9%,1.3%,-0.5%,0.6%,10.7%
14,2002,0.4%,1.0%,0.2%,0.5%,0.2%,1.0%,-2.3%,1.6%,-0.1%,-0.8%,0.3%,2.4%,4.5%
15,2003,1.1%,1.6%,-1.3%,1.7%,4.3%,0.7%,-0.6%,2.3%,-0.0%,1.5%,1.9%,3.8%,18.1%
16,2004,2.6%,2.3%,1.4%,-5.1%,1.7%,0.0%,0.0%,1.9%,1.6%,2.7%,0.9%,1.3%,11.8%
17,2005,-2.5%,1.3%,-0.7%,-2.2%,2.1%,2.7%,2.8%,0.5%,-0.8%,-2.8%,1.3%,0.1%,1.4%
18,2006,3.7%,-0.3%,2.0%,0.9%,-1.0%,0.6%,1.2%,1.0%,0.9%,2.4%,2.4%,-0.6%,13.8%
19,2007,1.4%,0.4%,-0.5%,1.0%,0.1%,-1.2%,-0.6%,-0.3%,3.6%,2.7%,-0.5%,0.8%,7.1%
20,2008,0.5%,1.9%,-0.4%,1.7%,0.3%,5.5%,-1.6%,-0.7%,0.1%,0.1%,0.0%,-0.1%,7.3%
21,2009,-1.0%,-2.8%,0.2%,1.0%,1.5%,2.5%,5.1%,2.4%,2.8%,-1.3%,3.8%,-0.3%,14.3%
22,2010,-2.5%,1.8%,2.6%,2.5%,-4.6%,1.7%,1.8%,1.9%,0.9%,2.1%,-1.1%,4.6%,12.0%
23,2011,2.4%,3.9%,0.0%,3.7%,0.0%,-1.5%,1.6%,-1.4%,-5.6%,1.5%,-2.3%,1.8%,3.8%
24,2012,1.5%,1.6%,0.6%,0.8%,-1.6%,1.6%,2.6%,0.3%,0.5%,-0.4%,-0.2%,0.1%,7.6%
25,2013,1.3%,-0.1%,1.1%,2.8%,-2.5%,-0.8%,1.3%,-1.5%,1.2%,1.6%,1.3%,0.9%,6.7%
26,2014,-1.1%,1.3%,0.3%,1.5%,1.1%,0.9%,-1.5%,2.0%,-2.0%,1.2%,1.1%,0.2%,5.1%
27,2015,2.7%,-1.1%,-0.1%,-1.3%,0.1%,-1.6%,0.4%,-0.8%,0.0%,0.0%,0.0%,-0.0%,-1.7%
28,2016,-0.7%,-0.1%,2.7%,0.6%,0.3%,3.0%,1.1%,-0.6%,-0.3%,-1.7%,0.1%,1.6%,6.3%
29,2017,0.5%,1.8%,-1.2%,0.0%,0.8%,0.6%,1.1%,0.3%,0.3%,0.7%,1.2%,1.3%,7.6%
30,2018,1.3%,-2.5%,0.3%,0.8%,0.8%,,,,,,,,0.7%
