,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,1971,3.9%,1.1%,3.4%,-0.0%,3.3%,10.4%,-2.6%,-3.8%,0.4%,-0.0%,-2.7%,5.7%,19.8%
1,1972,4.2%,6.1%,3.4%,1.1%,3.7%,0.3%,5.0%,0.5%,0.8%,2.6%,7.8%,5.7%,49.8%
2,1973,4.3%,10.4%,-0.9%,-5.5%,0.9%,0.9%,-0.1%,-1.4%,1.6%,1.9%,-1.0%,-1.1%,9.6%
3,1974,0.2%,0.5%,-2.6%,-1.1%,1.6%,-0.2%,-1.0%,-0.8%,1.8%,1.7%,1.6%,2.3%,4.0%
4,1975,-0.3%,2.6%,0.7%,1.4%,1.5%,2.7%,-4.8%,-1.2%,-2.2%,2.3%,0.3%,0.9%,3.7%
5,1976,2.8%,0.5%,1.0%,-1.2%,-1.8%,3.0%,-1.1%,2.2%,1.1%,-0.3%,2.8%,2.4%,11.9%
6,1977,-2.8%,0.3%,0.2%,0.8%,0.6%,2.4%,0.1%,1.7%,1.0%,0.4%,0.6%,1.6%,7.1%
7,1978,1.2%,2.0%,2.7%,0.6%,1.3%,4.3%,4.1%,1.6%,0.9%,2.7%,-3.2%,0.6%,20.4%
8,1979,1.4%,-2.1%,0.8%,-0.1%,0.3%,1.8%,0.7%,1.3%,0.5%,-6.0%,3.1%,1.9%,3.3%
9,1980,0.2%,-2.6%,-2.1%,11.2%,4.5%,3.7%,1.3%,0.4%,1.2%,1.8%,-0.2%,-1.9%,18.4%
10,1981,-1.1%,-2.0%,3.2%,0.0%,1.1%,-0.5%,-3.2%,-1.1%,-2.1%,7.6%,9.3%,-3.2%,7.2%
11,1982,0.3%,1.6%,0.5%,2.8%,1.9%,-2.5%,5.2%,6.1%,6.2%,6.6%,1.5%,2.7%,37.7%
12,1983,0.8%,3.9%,1.3%,5.2%,-1.7%,1.7%,-3.5%,-1.3%,3.6%,-2.7%,1.5%,3.4%,12.5%
13,1984,5.1%,-1.1%,4.6%,-0.5%,-6.3%,-0.2%,6.3%,1.7%,1.5%,4.9%,1.8%,1.1%,19.7%
14,1985,0.9%,-2.2%,2.7%,0.8%,7.1%,1.7%,0.3%,3.4%,7.4%,5.1%,2.2%,1.1%,34.4%
15,1986,1.9%,11.5%,14.9%,3.8%,1.3%,2.9%,-0.8%,6.3%,-1.0%,-6.1%,3.3%,3.5%,48.2%
16,1987,6.9%,4.3%,7.3%,7.5%,-0.1%,0.0%,1.2%,8.1%,-11.3%,-9.7%,0.5%,1.7%,15.1%
17,1988,5.0%,3.0%,3.0%,1.5%,-1.4%,1.6%,-2.5%,-2.5%,2.8%,1.5%,3.8%,1.1%,18.0%
18,1989,0.6%,2.6%,2.4%,11.2%,3.2%,-4.0%,4.6%,0.4%,3.6%,-0.1%,-0.3%,3.6%,30.7%
19,1990,-1.2%,0.6%,-2.1%,-1.9%,4.2%,1.7%,1.9%,-7.3%,0.9%,1.9%,3.3%,1.8%,3.5%
20,1991,1.0%,2.7%,4.4%,0.1%,4.8%,-4.6%,3.5%,3.3%,1.9%,1.6%,-0.2%,5.9%,26.5%
21,1992,0.3%,2.3%,-0.0%,-0.4%,1.3%,-2.3%,2.9%,0.7%,1.8%,-2.2%,-0.1%,2.0%,6.3%
22,1993,1.5%,1.3%,1.1%,-0.5%,0.9%,0.3%,2.9%,5.0%,0.9%,4.8%,1.4%,8.8%,31.9%
23,1994,-0.1%,-1.6%,-7.4%,1.7%,-0.2%,0.1%,1.4%,3.4%,-0.3%,0.1%,-2.6%,-0.8%,-6.5%
24,1995,0.7%,3.3%,1.7%,2.8%,4.8%,1.1%,1.0%,1.2%,1.8%,1.4%,2.0%,0.5%,24.6%
25,1996,1.9%,0.7%,-0.9%,4.7%,1.8%,-0.6%,-4.3%,0.1%,4.7%,2.4%,5.4%,-2.0%,14.3%
26,1997,2.6%,-1.5%,-3.1%,3.3%,3.4%,1.5%,6.6%,-7.9%,2.2%,-3.9%,1.0%,-0.4%,2.9%
27,1998,1.8%,3.7%,1.7%,1.1%,-1.4%,4.2%,0.8%,-6.7%,4.7%,-0.5%,1.0%,6.6%,17.7%
28,1999,6.5%,-6.1%,6.4%,2.8%,-3.1%,6.1%,0.2%,1.5%,0.6%,4.4%,5.7%,10.8%,40.7%
29,2000,-1.8%,5.3%,3.3%,-7.9%,-5.9%,5.1%,-1.9%,3.0%,-4.0%,0.6%,2.5%,2.4%,-0.3%
30,2001,0.8%,1.3%,0.4%,-1.7%,0.2%,0.2%,2.9%,1.2%,2.5%,2.5%,-2.7%,-1.5%,6.1%
31,2002,1.0%,1.2%,-2.1%,0.2%,0.4%,-0.8%,3.1%,2.5%,3.9%,-1.3%,-2.1%,3.5%,9.7%
32,2003,-0.7%,2.1%,-0.3%,0.3%,3.7%,-0.1%,-1.6%,4.7%,2.5%,5.2%,-0.9%,4.4%,20.7%
33,2004,0.9%,-0.2%,5.1%,-4.9%,-1.0%,3.7%,-5.5%,2.2%,-0.1%,1.6%,1.3%,2.8%,5.3%
34,2005,-1.3%,3.5%,-4.3%,0.8%,2.0%,1.4%,0.2%,0.2%,5.6%,-2.6%,3.3%,4.6%,13.7%
35,2006,5.8%,-2.0%,3.0%,2.1%,-4.7%,-0.7%,1.0%,1.6%,0.5%,1.3%,2.2%,-0.8%,9.2%
36,2007,0.6%,-0.7%,-0.6%,2.8%,0.8%,1.0%,0.9%,2.0%,5.5%,6.6%,-3.3%,-0.2%,16.0%
